26147104
/m/0b6j4jp
/m/0b6j4jp
Liang Yusheng
1984-01
a 6
account 1
after 2
again 1
agreed 1
along 1
also 1
ambushed 1
and 19
are 4
army 1
arts 1
as 1
attack 1
attacked 1
attempting 1
back 3
be 2
because 1
becomes 2
besides 1
betrayed 2
brings 1
but 3
by 6
called 1
capture 1
captures 1
caused 1
champion 1
chief 1
child 1
china 2
chu 4
consciousness 1
consummate 1
contest 1
continues 1
crushing 1
danger 1
daughter 1
dead 1
death 1
decides 1
defeat 2
defected 1
deliver 1
demoness 1
developed 1
dodo 2
during 2
dynasty 1
each 1
early 1
elected 1
emerges 1
emperor 1
encounter 1
escape 1
ethnic 1
eventual 1
eventually 1
fall 1
fate 1
fated 1
father 1
feelings 2
fellow 1
fight 1
fighting 1
find 1
flying 1
for 2
force 1
forces 2
from 1
general 1
going 1
grief 1
guilty 1
had 1
hair 1
haired 1
hamaya 12
hand 1
hangzhou 1
has 3
have 1
he 2
health 1
heartbroken 1
help 2
helps 2
her 12
hero 1
heroine 1
him 6
his 2
however 2
in 12
injured 1
into 1
invaders 1
is 9
junior 1
just 1
justice 1
kills 1
lead 1
learning 1
leaves 1
leaving 1
legendary 1
lian 1
like 1
loses 1
love 2
lover 1
manchu 1
marry 1
martial 1
meantime 1
meets 2
minghui 4
minority 1
nalan 8
new 1
nichang 1
northwest 1
northwestern 2
not 1
nurses 1
of 5
on 4
opposing 1
other 2
overnight 1
parents 1
past 1
people 3
personally 1
place 1
pregnant 1
prince 2
punishment 1
qijian 1
qing 7
red 1
region 1
reign 1
rejects 1
relationship 1
releases 1
resist 1
revealed 2
revered 1
romance 1
romantic 1
sandstorm 1
sash 1
saved 1
secretly 1
seeks 1
seniorjunior 1
set 1
she 2
shunzhi 1
side 1
sides 1
singer 1
soldiers 1
soon 1
sorrow 1
stand 1
story 1
submission 1
suffer 1
suppresses 1
take 1
teacher 1
that 2
the 21
their 2
them 2
then 1
they 4
this 1
tianshan 1
time 1
to 14
together 1
tribal 2
tribe 4
tribes 1
tribesmen 1
turns 1
under 1
vengeance 1
want 1
way 1
wedding 1
while 1
white 2
who 1
with 5
without 1
xia 1
xiuji 1
yabulu 4
yang 14
yuncong 6
zhaonan 2
