7690055
/m/0268zpr
/m/0268zpr
Lise Leroux
1961
a 6
abroad 1
an 1
and 5
another 1
barbiturates 1
become 1
begin 1
by 3
can 1
chest 1
civilisation 1
clairvoyant 1
coal 1
coming 1
commit 1
corruption 1
couple 1
declares 1
decline 1
discloses 1
disgusted 1
enter 1
extremely 1
flees 1
gambles 1
gift 1
glimpses 1
hammer 1
has 2
have 1
he 5
her 2
his 2
horses 1
hotels 1
howard 3
however 1
husband 1
in 3
is 1
janet 2
killing 1
life 1
luxury 1
megamoney 1
memory 1
money 1
must 1
new 1
of 3
on 2
photographic 1
predict 1
prophetic 1
quiz 1
race 1
racing 1
remainder 1
resists 1
results 1
return 1
seen 1
show 1
staying 1
suicide 1
taking 1
talent 2
that 1
the 5
their 2
then 1
they 2
to 2
together 1
travel 1
troubled 1
tv 1
unusual 1
uses 1
wealthy 1
win 1
winnings 1
with 3
world 2
