14597486
/m/03d90tb
/m/03d90tb
H. G. Bissinger
1990
{"/m/05h83": "Non-fiction"}
18 1
5a 1
a 2
against 1
and 7
archrival 1
are 3
as 1
assigned 3
back 1
become 2
becomes 1
black 1
board 1
book 2
booster 1
bring 1
but 2
carter 3
case 1
champions 1
championship 2
charge 1
cheerleaders 1
children 1
city 1
club 1
coach 1
competition 1
corrupt 1
dallas 1
day 1
decorate 1
defeated 1
ending 1
ends 1
erasing 1
even 1
every 1
examined 1
exterior 1
faces 1
fierce 1
flashes 1
football 4
for 2
fought 1
friday 1
from 1
future 1
gaines 1
game 2
gifts 1
girls 1
giving 1
goes 2
grade 1
graduating 1
groups 1
hard 1
high 2
his 1
history 1
homes 1
hope 2
in 6
interspersed 1
is 5
judson 1
juniors 1
largest 1
lee 1
look 1
many 2
meets 1
midland 1
more 1
names 2
next 3
nfl 1
odessa 1
of 8
on 1
one 3
opens 1
others 1
panther 1
panthers 1
penalties 1
pep 1
pepettes 1
peppettes 1
permian 6
personally 1
play 1
player 4
players 1
playoff 1
predominately 1
quarterback 1
rain 1
rallies 1
rebels 1
regularseason 1
replace 1
replacing 1
role 1
saga 1
school 3
season 2
semifinals 1
seniors 1
severe 1
social 1
state 3
stoney 1
system 1
tampering 1
team 3
teams 1
texas 2
than 1
the 27
their 4
them 2
then 1
throughout 1
to 7
town 1
trials 1
tribulations 1
undefeated 1
up 1
west 1
who 2
will 1
win 1
with 5
year 2
