29102497
/m/0dlk671
/m/0dlk671
Gordon Korman

{"/m/0dwly": "Children's literature", "/m/08sdrw": "Adventure novel"}
a 19
accept 1
accused 1
actor 1
adjusting 1
after 3
again 1
agrees 1
alarm 1
allows 1
also 1
amateur 1
an 2
and 15
animal 1
anklet 1
annoys 1
anonymous 1
anything 1
apologizes 1
are 1
arrest 3
arrive 1
as 3
asks 1
at 3
atmosphere 1
attempt 1
attracted 1
bad 1
bartholomew 1
be 3
been 1
before 1
better 1
bing 1
boot 1
boy 2
burly 1
buyer 1
by 2
caesar 1
calculates 1
came 1
camp 1
can 3
cedarville 1
celia 2
chance 1
chat 1
claims 1
clear 1
clears 2
collectors 1
coming 1
computer 1
could 2
court 1
courthouse 1
darren 1
daughter 1
delinquents 1
detector 1
digging 1
dirt 1
discover 1
discovers 1
distract 1
do 1
does 2
doesnt 1
doing 1
dr 4
dubbed 1
due 1
during 1
egan 9
email 1
evil 1
fails 1
fanatic 1
final 1
find 1
finding 1
finds 1
football 2
for 4
formulate 1
found 1
framed 1
framing 1
friend 3
friends 2
from 2
gain 3
get 3
getting 1
go 1
goodhearted 1
got 1
griffin 22
group 1
guilty 1
hacks 1
hail 1
hard 1
has 2
hates 1
have 4
having 1
he 9
her 1
him 7
his 11
home 2
hook 1
house 5
however 1
if 1
implied 1
in 7
interested 1
into 1
is 11
it 5
item 1
its 2
judge 1
juvenile 1
know 1
leads 1
leave 1
left 2
life 2
like 2
list 1
logan 1
look 1
lost 2
lover 1
loves 1
make 2
makes 2
man 2
matters 2
may 1
meet 1
melissa 1
metal 1
middle 1
more 1
motive 1
mouse 2
name 2
nest 1
new 2
nosy 1
not 2
objects 1
of 6
off 2
often 1
on 2
once 1
only 2
order 1
out 3
owner 1
parents 2
past 1
place 2
placed 1
plan 5
play 1
police 1
possession 1
possibly 1
priceless 1
principal 2
profit 1
promotion 1
purchasing 1
raced 1
realizes 1
recently 2
reporter 1
resets 1
retainer 3
rightful 1
ring 7
savannah 1
saying 1
school 6
search 1
sending 1
sent 1
she 4
shiny 1
showcase 1
shows 1
so 2
somebody 2
sport 1
state 2
stating 1
steal 1
stealing 1
stolen 1
stop 1
story 2
strict 1
superbowl 1
sure 1
suspect 1
suspects 2
swapped 1
system 1
take 1
takes 1
than 1
that 10
the 33
their 1
them 2
then 1
they 2
things 1
this 1
through 1
time 2
to 20
tony 1
tried 1
tries 1
truly 1
twist 1
twists 1
type 1
under 1
unfortunately 1
up 3
vader 1
valuable 1
via 1
video 1
was 3
when 2
where 1
which 1
while 2
white 2
whiz 1
who 5
will 3
with 4
without 1
wont 1
words 2
worse 2
would 1
wrong 1
