4113955
/m/0bjt_w
/m/0bjt_w
Robert Ferrigno
2006-02
{"/m/01jfsb": "Thriller", "/m/06n90": "Science Fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
2017 1
2042 1
a 12
after 1
afternoon 1
america 1
american 2
ancient 1
and 7
are 2
as 2
assassin 1
assigned 1
at 3
attacks 1
attempting 1
back 1
battle 2
be 1
becomes 1
before 1
behind 1
belt 2
between 2
bible 2
bloody 1
bomb 2
book 1
bowl 2
break 1
brink 1
but 3
caliphate 1
capitol 1
capture 1
cause 1
cheerleaders 1
china 1
city 1
civil 1
common 1
competing 1
conditions 1
contrives 1
converted 1
could 1
country 1
crisis 1
culture 1
darwin 2
destroy 1
detonation 1
devoted 1
dialog 1
dirty 1
dougan 1
during 1
dying 1
ending 1
epps 2
even 1
everything 1
evil 1
exists 1
exposed 1
extremists 2
face 1
facing 1
fact 1
factions 1
faith 1
fedayeen 1
figure 1
final 1
find 1
flash 1
for 4
forward 1
found 1
fourth 1
fragile 1
from 2
fulfill 1
fusion 1
ground 1
group 1
halftime 1
has 1
have 1
he 2
himself 1
his 2
historian 1
if 1
in 7
including 1
inhabitants 1
into 1
is 7
islam 1
islamic 4
it 3
knife 1
known 2
later 1
launched 1
life 1
lost 1
loves 1
majority 1
mecca 1
men 1
messianic 1
more 3
muslim 3
must 1
nation 1
new 1
newark 1
of 10
off 1
old 1
once 1
one 1
openminded 1
opens 1
paramilitaries 1
participants 1
parties 1
peace 1
play 1
played 1
poisoning 1
political 1
possible 1
power 1
powerful 1
prayers 1
prophecy 1
protagonist 1
put 1
radiation 1
rakkim 2
religious 1
remainder 1
republic 1
restoration 1
risk 1
same 1
sarah 1
save 1
scenes 1
scheduled 1
seattle 1
seceding 1
second 1
seize 1
sequel 1
sets 1
showdown 1
slain 1
small 1
soldier 1
sought 1
start 1
starts 1
states 2
stepped 1
still 1
story 2
succumbed 1
super 2
swordwielding 1
task 1
that 3
the 38
there 1
threatening 1
throw 1
time 1
to 11
traditional 1
trusting 1
truth 1
up 1
via 1
war 1
warrior 1
was 3
which 2
who 2
whose 1
wise 1
with 3
within 1
young 1
