3230926
/m/08_zyb
/m/08_zyb
Chetan Bhagat
2004
11 1
15 1
a 6
about 1
academic 1
action 1
add 1
adventures 1
alok 4
amends 1
and 11
andor 1
anything 1
are 2
as 5
assignments 1
at 1
attempt 1
attempts 1
babies 1
back 1
bad 1
be 1
beat 1
before 1
best 1
bit 1
book 2
bottom 1
boys 2
by 7
c2d 1
campus 1
cherian 2
class 1
classes 1
colleges 1
comes 2
cooperate 1
cope 2
creative 1
creativity 1
cry 1
dark 1
daughter 1
deals 2
deflated 1
delhi 1
department 1
do 1
dominate 1
domineering 1
double 1
echelons 1
elation 1
else 1
engineering 3
especially 1
ever 1
every 1
fail 1
families 1
find 1
first 2
fivepointsomething 1
fling 1
fluid 1
forcing 1
frequently 1
friends 3
get 2
girlfriend 1
gpa 1
grades 1
grading 1
gupta 1
happens 1
hari 6
has 1
have 1
head 1
his 1
hostelmates 1
how 1
however 1
humorous 1
if 1
iit 4
iits 1
important 1
in 6
india 1
indian 1
inside 1
institute 1
internationally 1
is 6
it 8
just 1
know 1
kumar 1
lamenting 1
lauded 1
led 1
letter 1
lives 1
lowest 1
make 1
making 1
mechanical 2
mechanics 1
mildly 1
monotony 1
more 1
most 3
narrated 1
narrator 1
near 1
neha 2
new 1
novel 2
now 1
numerous 2
oberoi 1
of 15
off 1
on 1
one 1
only 1
out 1
outspoken 1
passages 1
period 1
person 1
place 1
prof 2
professor 1
protagonists 1
quickly 1
quiz 1
ranking 1
realize 1
rigor 1
ryan 5
screw 3
set 1
small 1
smart 1
society 1
some 2
start 1
stifled 1
students 1
sympathizer 1
system 4
takes 3
teaching 1
technology 1
ten 1
than 1
the 36
their 4
them 2
then 1
they 5
things 1
though 1
three 3
to 13
tone 1
trio 1
try 2
turns 1
uninspiring 1
up 1
value 1
veera 1
was 1
well 2
when 1
whereas 1
while 3
who 2
whose 1
with 7
woes 1
work 1
worse 1
you 2
