15844676
/m/03nx259
/m/03nx259
Stephen Crane


34bingen 1
34soldier 1
34the 1
a 12
abandon 1
able 1
advances 1
afloat 1
after 2
ahead 1
all 2
and 19
anger 1
another 3
are 3
as 2
ashore 1
at 4
bails 1
based 1
be 3
beach 2
become 1
before 1
begin 1
beginning 1
begins 1
bicker 1
billie 3
boat 4
boat34 1
body 1
bothered 1
but 3
by 5
capable 1
captain 2
caroline 1
chapter 2
charactersthe 1
color 1
colors 1
comical 1
condescending 1
contact 1
continue 1
cook 3
correspondent 7
crane 1
current 1
danger 1
dead 1
desperate 1
detached 1
dies 1
dinghy 2
dipped 1
divided 1
does 1
drifting 1
during 1
dwindle 1
each 1
edge 1
empathy 1
eventually 1
expect 1
eyes 1
fail 1
far 1
fastened 1
fat 1
fates 1
fatigued 1
final 1
find 1
first 1
fitfully 1
floundering 1
fluctuate 1
foaming 1
following 1
for 3
four 4
from 6
further 1
glanced 1
group 2
growing 1
have 1
having 1
he 1
himself 1
his 2
holding 1
home 1
hope 1
hopes 1
horizon 2
hours 1
hue 1
in 6
indifferent 1
injured 1
into 1
introduces 1
is 7
it 2
its 1
jagged 1
keep 1
knew 2
leadership 1
legion34 1
level 1
lighthouse 1
like 1
local 1
long 1
lost 1
mainly 1
make 1
man 1
may 2
men 4
men3s 1
met 1
moods 1
morose 1
name 1
narrowed 1
nature 1
near 1
nevertheless 1
night 1
none 1
norton 1
not 2
notices 1
oar 1
observer 1
occupied 1
occurred 1
of 21
oiler 4
on 4
one 4
only 1
onto 1
open 1
optimistic 1
or 1
others 2
part 1
penultimate 1
physically 1
poem 1
point 1
points 1
reach 2
realization 2
recalls 1
referred 1
rescued 1
rescuers 1
resolution 1
rest 1
rhine34 1
rocks 1
rose 1
rowing 2
safely 1
save 1
sea 2
sections 2
see 1
seeing 1
seem 1
seemed 1
seven 1
shark 1
ship 1
shipwreck 1
shore 4
situation 1
sky 1
slate 1
sleep 1
small 1
still 1
story 2
strongest 2
sudden 1
surviving 1
survivors 1
swept 1
swim 3
swimming 1
swims 1
take 2
tempered 1
that 4
the 64
their 5
them 2
then 1
these 1
they 6
thirty 1
three 1
thrust 1
times 1
to 12
told 1
tops 1
toward 2
towards 1
trapped 1
trying 1
turns 2
up 2
upon 2
uses 1
verse 1
view 1
was 1
washed 1
water 1
waves 3
waving 1
wearily 1
were 3
what 1
when 2
which 3
while 3
white 1
who 2
widened 1
will 1
with 4
would 1
yet 1
