20248326
/m/04zy6lf
/m/04zy6lf
Elizabeth Kolbert
2006
1 2
10 4
12 2
158 1
16 1
175000 1
18 1
20 1
2000 1
2001 1
2004 1
2005 1
2100 1
24 1
34 1
50 1
a 32
abilities 1
able 1
about 8
above 1
absorption 1
absorptive 1
accident 1
accomplished 1
according 3
accounts 1
achieved 1
across 1
action 1
active 1
actually 1
adapt 2
administration 2
adopt 1
advanced 1
affecting 1
affects 1
after 2
age 2
ago 1
agreed 1
agreement 3
ahead 1
alarming 1
alaska 3
all 1
along 2
also 11
alternative 1
america 1
among 2
amounts 1
amphibious 1
an 5
analyzes 1
ancient 4
and 52
annex 2
another 1
anthropocene 1
apart 1
aptly 1
arctic 1
are 15
area 2
arent 1
argues 4
arnold 1
arose 1
around 5
arrhenius 2
articles 1
as 23
assortment 1
at 10
atmosphere 1
atmospheric 1
attempts 1
attended 1
availability 1
average 1
back 1
balance 1
based 3
basic 1
bau 2
be 11
beam 1
because 6
become 2
becoming 3
bed 2
been 10
began 3
beginning 3
begins 1
begun 1
behavior 1
being 5
believed 1
believes 2
below 1
between 1
bill 1
billion 1
biologists 1
book 1
books 1
both 1
bradshaw 1
branch 1
brought 1
building 1
built 1
bulbs 2
burlington 4
burlingtons 1
bush 5
business 1
but 5
butterfly 1
buy 1
buying 1
by 17
california 2
called 3
came 3
camp 2
campaign 1
can 5
canada 1
canal 1
cant 1
carbon 10
cause 1
caused 1
causes 1
celebrate 1
cents 1
century 1
cfcs 2
change 10
changed 1
changes 4
chapter 5
charles 1
chart 1
checked 1
china 1
chips 1
chlorofluorocarbons 1
chris 1
christina 1
cites 1
cities 1
citizens 1
city 5
civilization 1
civilizations 2
clavelle 2
clavelles 1
climate 12
clinton 1
closed 1
clouds 1
co2 1
coastal 1
codirector 1
colder 1
collecting 1
collection 1
combat 1
come 2
comma 1
community 1
compact 1
composting 1
concerned 1
conditions 2
conducted 1
connect 1
consisted 2
contain 1
continue 2
continues 1
contractors 1
contradicting 1
control 3
controlling 1
convention 1
cooperatives 1
cores 1
corporations 1
countries 3
course 1
create 1
created 1
creates 1
creating 2
credit 1
cubic 1
culture 1
current 3
curve 1
cut 1
cutting 1
data 1
date 1
david 1
day 1
death 2
decided 1
deconstruction 1
degrees 2
demolition 1
demonstrate 1
department 1
des 1
describes 1
destructive 1
developed 2
developing 1
development 1
did 2
died 1
different 1
dikes 4
dioxide 3
director 1
discovered 1
discovery 4
discusses 3
disintegration 1
dismantled 1
divert 1
do 2
dominating 1
donald 1
done 1
doubled 1
down 2
downfall 1
drastically 1
drought 2
droughts 1
due 3
dura 1
during 4
dutch 1
each 1
early 1
earth 4
earths 1
eat 1
economic 1
eelke 1
effect 4
effectively 1
effort 1
either 1
electric 1
electricity 1
else 1
emission 3
emissions 10
encourages 1
end 1
energy 5
engage 1
enough 1
entering 1
entire 2
environment 3
equilibrium 1
era 1
estimates 1
europe 1
evacuate 1
even 2
events 1
evidence 3
exactly 1
executive 1
existing 1
expansion 1
expedition 1
experienced 1
experiments 1
explained 1
explains 1
exploring 1
extinction 1
extreme 1
exxon 1
fact 1
factor 1
factory 1
fad 1
fairbanks 2
fall 1
falling 1
falsely 1
family 1
farmers 1
faster 1
favors 1
february 1
feed 1
feet 1
few 1
fifteen 1
fight 2
finding 1
first 3
float 1
floes 1
flood 1
flooding 3
fluorescent 1
follows 1
food 1
for 14
forced 1
former 1
found 3
framework 1
fresh 1
frightening 1
from 12
fuel 1
funded 1
future 2
gardens 2
gas 4
gases 3
general 1
generate 1
genetic 1
genetically 1
geographic 2
geological 1
george 2
get 1
gets 1
giss 2
giving 1
glaciers 2
global 14
golden 1
government 1
governor 1
grains 1
granted 1
greenhouse 7
greenland 3
greg 1
groseilliers 1
ground 1
groups 1
habitats 1
had 3
half 1
harmful 1
has 11
hasnt 1
have 11
having 1
he 7
heat 1
heated 1
heating 1
help 2
helps 1
him 2
his 6
history 1
hoffert 3
holzapfel 1
homes 2
homo 1
hopes 1
hours 1
how 5
however 1
huge 1
human 1
humans 2
hundred 1
hw 1
ice 10
iceland 1
ideas 2
if 5
iii 1
impact 1
impacts 1
important 1
impossible 1
improper 1
in 34
included 1
incomplete 1
increasing 2
industrial 1
industrialization 1
inevitably 1
influence 1
influences 1
influencing 1
information 2
initiative 1
insightful 1
instead 2
instrument 1
intensity 1
interference 1
interviews 4
into 5
introducing 1
involved 1
is 24
isnt 1
issued 1
it 8
its 2
itself 1
japan 1
jeopardy 1
john 2
keeling 2
keep 1
kept 1
knowledge 1
known 1
kolbert 23
konrad 1
kyoto 3
laboriously 1
land 2
large 1
largest 1
last 1
later 1
layer 1
leads 1
leases 1
led 1
less 1
level 2
levels 8
lifetime 1
light 2
like 1
line 1
living 2
local 2
locally 1
longer 1
looks 1
loop 1
lower 2
made 1
main 3
major 1
make 2
making 2
many 4
marty 1
massive 1
materials 1
may 1
mayans 1
mayor 3
mayors 2
means 1
measure 2
measures 1
measuring 1
meets 1
megawatt 1
melt 1
melted 2
melting 2
melts 1
mentioned 1
merwede 1
met 1
meteorological 1
metric 1
microwaves 1
mid150s 1
mid1th 1
miles 1
million 1
misleading 1
mitigation 1
mobil 1
models 2
modern 1
month 1
months 1
more 11
mosquito 1
most 2
motivate 1
motors 1
much 3
must 2
named 1
nasa 2
nations 3
natural 2
necessarily 1
need 1
needs 2
negative 1
netherlands 1
new 5
nickles 1
nieuwe 1
nightfall 1
no 1
not 9
nothing 1
november 1
now 1
nuclear 1
obligation 1
observations 1
obtaining 1
occur 1
occurred 1
ocean 3
oceans 1
of 65
off 3
official 1
often 1
old 1
on 9
once 2
one 4
only 2
or 8
orbiting 1
order 4
organisms 1
other 3
others 1
our 8
out 5
output 1
over 3
ozone 1
paleoecologist 1
past 2
patterns 1
peak 1
people 4
per 1
percent 1
permafrost 3
perovich 1
peter 1
physics 1
pick 1
places 1
plan 4
