4257233
/m/0bsqqk
/m/0bsqqk
Warren Adler
1981-04
{"/m/02n4kr": "Mystery", "/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 12
acclaim 1
acts 1
aggression 1
aid 1
all 2
allowance 1
along 1
amount 1
an 3
and 13
antiques 1
are 3
as 8
at 1
attack 1
attorney 2
attorneys 1
au 1
bad 1
barbara 8
be 4
bedside 1
been 1
begins 2
believed 1
belongs 1
best 1
better 1
both 3
building 1
business 1
but 1
cannot 2
career 1
careers 1
cat 1
children 4
citing 1
collected 1
come 1
contents 1
continue 1
could 1
couple 1
dc 1
despite 1
did 1
died 1
distraught 1
divorce 4
dog 1
dream 1
each 1
earned 1
easily 1
else 1
embarked 1
endeavour 1
engulfs 1
enough 2
escalates 1
eve 1
everything 2
fair 1
family 2
fast 1
fell 1
filled 1
first 1
for 5
forward 1
from 1
game 1
generous 1
go 1
going 1
good 1
gourmet 1
had 2
half 1
hand 1
has 4
have 3
having 1
he 7
heart 1
her 4
him 2
himself 1
hired 1
hires 1
his 4
home 3
hospital 1
house 5
ideal 1
if 1
in 5
introduced 1
introducing 1
is 5
it 10
its 2
jonathan 8
jonathans 1
josh 1
law 1
legal 1
less 1
let 1
life 3
lifetimes 1
like 1
limits 1
live 2
living 1
love 2
make 1
making 1
marriage 1
miserable 1
monthly 1
move 1
never 1
not 7
novel 1
of 11
off 1
offers 1
old 1
on 2
only 2
opts 1
other 3
out 2
over 2
own 1
pair 1
permits 1
possessions 1
precedent 1
previous 1
prized 1
prognosis 1
prospect 1
provide 1
pt 1
puts 1
putting 1
quietly 1
raised 1
realized 1
realizes 1
received 1
recently 1
represent 1
retainer 1
returning 1
road 1
roof 1
rushed 1
sabotage 1
same 1
she 7
small 2
smart 1
smoothly 1
so 2
some 2
somewhere 1
soon 1
suburb 1
suddenly 1
take 1
tells 1
territoriality 1
than 1
thats 1
the 23
their 3
themselves 1
there 1
they 6
theyve 1
thinks 1
this 1
thrilled 1
through 1
time 2
to 18
together 2
town 1
two 1
under 1
understand 1
unit 1
upkeep 1
upon 2
us 1
vanishes 1
waited 1
wanted 1
wants 1
warnings 1
washington 1
well 1
what 1
which 1
while 1
why 1
wife 1
with 3
work 1
worth 1
would 3
years 1
