10851304
/m/02qr_0r
/m/02qr_0r
A. Merritt
1918
{"/m/08g5mv": "Lost World", "/m/01hmnh": "Fantasy"}
a 7
advanced 1
also 2
among 1
an 3
and 19
angelic 1
are 3
as 4
at 1
away 1
battle 2
be 1
beautiful 2
been 2
beings 1
between 1
both 2
but 4
by 2
calamity 1
called 3
can 3
capturing 1
concerns 1
constantly 1
continue 1
core 1
create 1
created 2
creationif 1
creators 1
described 1
destroy 1
developed 2
develops 1
die 1
do 2
down 1
dr 1
dross 1
dwarves 1
dweller 3
earth 2
either 1
encompasses 1
entire 1
entity 2
essence 1
even 1
eventually 4
evil 4
existence 1
expressed 1
fear 1
feed 1
follow 1
for 1
forces 2
froglike 1
from 2
good 6
goodwin 1
great 2
habit 1
halfamerican 1
halfirish 1
handmaiden 1
handsome 1
has 2
have 3
higher 1
him 1
holds 1
humankind 1
humanoids 1
in 5
increases 1
intelligent 1
is 5
it 8
its 2
itself 1
knowledge 1
knows 1
lakla 1
larry 1
left 1
love 3
meet 1
members 1
men 1
more 1
most 1
named 2
nobler 1
not 3
nothing 1
of 12
offspring 1
okeefe 2
one 2
ones 3
only 2
or 2
others 1
over 1
perhaps 1
pilot 1
plot 1
power 1
powerful 1
prevail 1
pride 1
punishment 1
purged 1
race 5
reason 1
rely 1
remain 1
rising 1
sacrifice 1
scientist 1
semisentient 1
sentenced 1
serves 1
shining 2
silent 3
simply 1
since 1
slowly 1
so 1
some 1
source 1
species 1
stake 1
stasis 1
still 1
such 1
surface 1
than 1
that 1
the 27
their 4
there 2
these 1
they 8
this 1
three 1
time 1
to 5
towards 1
turns 1
unholy 1
until 1
upon 1
using 1
very 1
want 1
was 1
weakness 1
weapon 1
which 5
who 1
whom 1
will 1
willing 1
wise 1
with 1
within 1
woman 1
women 1
world 2
yolara 1
