18651841
/m/04gm28y
/m/04gm28y
Diane Duane
1990-06
{"/m/06n90": "Science Fiction"}
a 1
about 1
acceptance 1
against 1
and 1
as 2
be 1
beams 1
been 1
captain 1
claiming 1
command 3
commander 1
complaints 1
complicate 1
do 1
doctor 1
down 1
enterprise 1
facilitate 1
federation 1
flyspeck 3
forbid 1
found 2
from 1
fully 1
goodnatured 1
had 1
have 1
him 1
his 2
in 6
into 1
is 2
it 1
its 1
kirk 5
klingons 1
later 1
leaves 1
leaving 1
linear 1
live 1
lost 1
matters 1
mccoy 2
not 1
nowhere 1
of 2
on 1
one 1
order 1
passing 1
planet 1
races 1
regulations 1
response 1
ship 1
show 1
soon 1
spock 1
stake 1
stream 1
stuck 1
style 1
that 1
the 6
time 2
to 7
up 1
vanishes 1
well 1
will 1
with 1
