24694823
/m/0805pzk
/m/0805pzk
Andreï Makine

100nbspkm 1
110 2
114 1
121 1
144 1
145 1
170 1
174 1
204 1
214 1
a 64
about 7
abroad 1
abruptly 1
absence 1
accepted 3
accepting 1
accepts 1
accomplish 1
accused 2
across 1
acts 1
add 1
addict 1
addressed 1
adopted 1
after 15
afterward 1
again 2
against 1
age 1
ahead 2
aimlessly 1
albertine 5
alex 3
alienates 2
alive 3
all 9
alone 1
along 2
although 1
alyosha 1
amidst 1
among 1
an 6
and 78
angry 1
annulled 1
another 2
antelope 1
anticipation 1
antiques 1
any 1
apartment 4
appeal 1
approval 1
are 2
arms 1
arrest 3
arrested 1
arrival 2
arrives 1
as 24
asleep 1
at 11
atlantis 1
attachment 1
attack 1
attempting 1
august 2
aunt 1
aunts 1
autumn 1
away 5
awkward 1
back 11
balcony 1
banks 2
barely 1
basis 1
battle 1
be 4
beauty 1
became 1
because 5
become 2
becomes 6
been 1
before 2
begin 2
begins 10
being 4
beside 1
between 6
biographical 1
biological 1
blacker 1
bloody 1
body 1
bomb 1
bond 5
book 3
books 3
bookstore 1
border 1
bordering 1
born 1
both 2
bought 2
boy 4
boysark 4
bring 1
bringing 2
brings 1
broadcaster 1
brought 1
bukhara 1
businessman 1
but 8
buys 1
by 12
calm 1
calmly 1
came 1
camp 1
can 1
cant 1
care 1
career 1
caretaker 2
caring 1
caused 1
causes 1
cemetery 1
chance 1
changes 1
characterized 1
charlotte 44
charlottes 11
child 2
childhood 1
children 2
chosen 1
christmas 1
city 7
clash 1
classmate 1
classmates 3
clearing 1
clippings 1
closer 1
clothes 1
cold 1
collapses 1
collection 1
come 1
comes 3
coming 1
common 1
conflict 1
confuse 1
confused 2
constant 1
corner 1
could 1
countless 1
country 2
crime 1
critics 2
cross 1
cruel 1
crushed 1
dance 1
darkness 1
daughter 3
day 3
days 3
de 1
dead 1
death 3
deaths 1
debris 1
decides 2
decorate 1
decorated 1
decorates 1
defeated 1
deliver 1
departure 1
describe 1
describes 1
description 1
desert 4
design 2
desire 2
despite 1
destroyed 1
details 1
deterioration 1
did 2
die 1
died 2
dies 5
discards 1
discovering 1
distress 1
do 1
doesnt 1
dolina 1
down 3
dreamlike 1
dreamy 1
dressed 1
dried 1
drift 1
drifts 1
during 2
dusty 1
dying 2
each 2
early 1
eleven 1
else 1
encounter 2
end 4
ends 1
entertain 1
entertains 1
envelope 2
escape 1
etc 1
europe 2
eve 1
even 3
eventually 1
every 1
everything 3
excess 1
exercise 1
experience 1
explains 2
explores 1
explosions 1
fact 1
fall 2
falls 1
family 1
far 1
farm 1
fashion 1
fate 1
father 2
faure 1
fearing 1
february 1
feel 1
feeling 1
feels 2
fever 1
feverishly 1
few 2
fifteenth 2
fifteenyear 1
filled 1
filling 1
final 1
find 2
finds 1
first 4
flee 1
fleeting 1
flirt 1
flix 1
flood 2
flooding 1
following 1
food 1
for 13
forced 1
foreign 1
forest 1
found 2
four 1
fourteen 2
france 16
freedom 1
french 19
frenchness 1
friends 1
from 12
front 1
fun 1
future 2
fuzzy 1
fyodor 6
fyodors 2
gave 1
german 1
germans 1
get 1
gift 1
give 1
go 2
goes 1
government 1
governor 1
grandchildren 1
grandmother 6
grandmothers 1
grandson 1
grapevine 1
grave 1
grazed 1
grew 1
grig 1
grizzled 1
had 4
hailed 1
hand 1
happens 1
hardship 1
harsh 1
harshness 2
has 11
have 1
he 67
head 1
heart 1
heat 1
her 42
heritage 2
hideaway 1
him 26
himself 2
hinted 1
hires 1
his 61
home 2
hometown 2
hope 2
hospital 2
hours 1
house 3
houses 1
how 1
however 4
humiliated 1
hungrily 1
husband 3
i 1
idea 1
identity 1
if 1
ii 1
image 2
images 1
imagining 1
immediately 2
implant 1
importantly 1
in 60
inbetween 1
income 1
indeed 1
industrial 1
information 2
informs 1
initiated 1
innocent 1
inscribes 1
inside 1
intended 1
intertwining 1
into 7
is 56
isolation 1
it 26
items 1
its 6
izba 2
january 1
japan 1
joy 2
july 1
jumps 2
keep 1
keeps 1
killed 1
know 1
knowing 2
lack 1
lake 1
language 1
larger 1
last 5
later 3
leafing 1
leaning 1
leans 1
learn 1
learned 1
leave 3
leaves 2
left 1
lemonnier 3
less 1
lessons 1
letter 2
level 1
life 6
like 4
lined 1
link 1
live 2
lived 1
lives 2
living 3
logs 1
loner 3
long 1
longer 2
longs 1
looking 1
love 3
loved 1
lovely 1
loves 2
made 2
madman 1
magic 1
make 3
makes 1
makine 3
making 3
man 4
manuscript 1
maria 1
marks 1
marries 1
may 2
meaning 1
meant 1
meets 1
memories 4
memory 1
mends 1
mental 1
middle 1
midst 1
might 1
miles 1
mistress 1
mixture 1
months 2
more 4
morning 2
morphine 1
moscow 1
most 1
mother 12
mothers 1
mountain 2
movement 1
moves 7
mr 1
must 2
mutilated 1
my 1
mysterious 1
name 1
named 2
narration 1
narrator 25
narrators 5
nearby 1
never 1
new 2
newspaper 1
next 4
nicholas 2
nicknamed 1
night 1
nikolai 1
nine 1
no 2
nononsense 1
norbert 1
not 4
note 1
notes 2
novel 4
novels 1
now 3
nuisance 1
nurse 2
obsession 1
of 95
old 5
on 17
once 3
only 9
openly 1
opens 2
or 2
order 2
other 2
others 1
out 7
outcast 1
outfit 1
outlook 1
over 3
overhears 2
overspent 1
pace 1
package 1
packed 1
page 2
papers 1
paramilitary 1
parents 2
paris 8
partially 1
party 1
pashka 3
pass 1
passes 1
passport 3
past 10
payment 1
peace 2
peers 2
people 1
period 1
permission 1
photographs 2
physical 2
picture 1
place 1
placed 1
plans 1
plants 1
plaque 2
plunge 1
police 1
possible 1
poverty 1
prefecture 1
prepared 1
presence 3
present 3
president 1
pressed 1
preventing 1
previous 1
produced 1
propaganda 1
published 1
publishing 1
pushes 1
put 3
quickly 1
quiet 1
radio 1
railway 1
rape 2
