34031264
/m/0hrb8mj
/m/0hrb8mj
Alicia Ostriker

{"/m/05qgc": "Poetry"}
14 1
16 1
170 1
175 1
21 1
8 1
a 35
abandoned 1
able 2
about 6
acceptable 1
accounts 1
acknowledges 1
acknowledging 1
actually 1
admiration 1
advice 1
aftermath 1
against 1
age 1
ages 1
agreement 1
akira 1
alerting 1
all 1
allusions 1
almost 1
already 1
also 3
alternating 1
although 1
an 10
analgesic 1
and 46
anesthetic 1
angry 1
animals 1
animate 1
another 1
antidepressants 1
any 2
anything 3
are 6
around 1
art 1
as 7
asking 2
assist 1
assistance 1
at 8
attempt 1
attention 1
attraction 1
audience 1
autumn 1
away 2
babies 1
baby 1
balance 1
bayonets 1
be 7
beauty 3
been 1
before 1
begging 1
beginning 1
begins 2
being 2
believes 1
bellies 1
better 1
between 4
bicycle 1
birth 5
birthday 1
births 1
bitches 1
bitter 1
black 1
blakes 1
blissful 1
body 1
book 2
books 3
born 1
both 1
boundless 1
brainwashed 1
breath 1
brief 1
brownhaired 1
brutal 1
bully 1
bullying 1
but 2
by 7
cabin 1
california 1
cambodia 2
can 1
cassat 2
catching 1
certain 1
change 1
chester 1
child 10
childbirth 2
children 8
childs 1
choose 1
circumstances 1
claims 1
class 4
coda 1
college 1
come 2
comfortably 1
coming 1
compare 1
comparing 1
composed 2
concludes 2
consciousness 1
consented 2
considers 2
contrasted 1
contrasting 1
craft 1
creative 1
crude 1
dangerous 1
daughter 5
daughters 2
day 2
days 1
dead 1
dealing 1
deals 1
death 1
degrading 1
delivered 2
demanding 1
demerol 2
depressed 1
depression 1
deprived 1
described 1
describes 2
describesa 1
despite 1
devastation 1
development 1
developments 1
dictates 1
die 1
different 2
difficult 1
dirty 1
discussed 1
discusses 1
discussion 2
dispenses 1
distant 1
divided 1
divine 1
do 2
doctor 1
does 1
dolly 1
domination 1
down 2
dream 2
drive 1
drugs 1
due 1
during 3
dust 1
dynamics 1
each 1
early 1
easily 1
effects 2
emotions 2
empowering 1
emptiness 1
end 1
ends 1
england 1
enjoyable 1
entropy 1
erotic 2
european 1
evacuation 1
eve 2
even 3
evening 2
events 5
examines 3
exile 1
expectation 1
experience 5
experienced 2
experiences 2
explain 2
explores 3
exploring 1
expresses 1
eyes 1
family 3
