4873693
/m/0cs0cg
/m/0cs0cg
Jonathan Lethem
1995-09
a 7
abandon 1
abandoned 1
access 1
after 1
again 1
alien 1
also 3
altered 1
an 3
and 6
apparent 1
are 3
area 1
argued 1
as 1
away 1
based 1
both 1
break 1
by 3
california 1
chance 1
chaos 4
chaosmoon 1
characters 1
charismatic 1
companion 1
constant 1
converted 1
covered 1
depending 1
depicted 1
dick 3
dreamers 1
dreams 1
drugs 1
dystopian 1
each 1
early 2
earth 1
echoes 1
eldritch 1
elsewhere 1
especially 1
everett 1
example 1
exclusive 1
extremes 1
eye 1
figure 1
fog 1
food 1
for 4
francisco 1
from 1
goes 1
green 1
hallucinogenic 1
has 2
hatfork 1
he 2
him 1
his 2
hivelike 1
idea 1
in 9
into 1
invasion 1
is 10
it 1
kellogg 2
lethem 1
lives 1
lottery 1
luckbased 1
making 1
megaplex 1
melinda 1
messianic 1
mind 1
minds 1
moon 2
mystery 1
name 1
named 2
novel 2
nuclear 1
of 9
on 4
one 2
other 4
others 1
palmer 1
perceptions 1
place 1
play 1
plays 1
postapocalyptic 1
powerful 2
premise 1
private 1
protagonist 1
provide 2
reach 1
realities 2
reality 1
reason 1
receptive 1
reliant 1
reluctant 1
reminiscent 2
residents 1
resistance 1
role 1
san 1
save 1
school 1
setups 1
several 1
shaped 1
sinister 1
sky 1
sleep 1
social 1
society 1
solar 1
solipsistic 1
splintered 1
stigmata 1
strike 1
such 1
survivalist 1
system 1
taken 1
that 3
the 12
there 1
thick 1
this 4
three 1
throughout 1
to 6
totalitarian 1
town 1
transfers 1
travelling 1
unifying 1
vacaville 1
when 1
where 2
which 1
who 1
with 1
works 1
world 2
worlds 1
wyoming 1
