6253992
/m/0fz218
/m/0fz218
Morgan Llywelyn
1984
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0hwxm": "Historical novel"}
4th 1
a 11
after 3
agenor 4
all 1
amergin 4
and 10
anything 1
are 2
arrive 1
arrives 1
asleep 1
at 1
attacked 1
back 1
bad 1
bard 2
bardic 1
bardo 1
battle 1
bc 1
ber 1
bring 1
brothers 1
builds 1
by 5
celts 1
century 1
che 1
chief 1
colptha 1
coming 1
confronted 1
conquist 1
d 1
danann 1
dananns 1
danu 1
decided 1
decisions 1
declining 1
despite 1
di 1
donn 1
druid 1
emerald 1
entrance 1
eventually 1
fabled 1
finn 1
follows 1
for 1
gaelicians 2
gaelico 1
galicians 2
gives 1
giving 1
goddess 1
group 3
hall 1
has 1
help 2
heroes 1
him 2
his 2
historical 1
hope 2
iberia 1
ierne 3
il 1
in 5
ireland 1
irish 1
is 3
isle 1
it 1
itlepopea 1
land 2
later 1
leaving 1
led 2
lirlanda 1
living 1
made 1
men 1
mil 1
milesians 1
milesios 2
mishaps 1
much 1
mysterious 1
named 1
neither 1
no 1
north 1
northwest 1
novel 1
of 17
official 1
on 1
own 1
people 1
phoenician 2
prosperity 2
protests 1
r 3
reception 1
regaling 1
remn 1
rewards 1
sail 1
sakkar 2
saving 1
series 2
servant 1
set 1
settle 1
ships 1
shipwright 1
side 1
sons 2
story 1
sweeping 1
tagline 1
tale 2
talent 1
that 2
the 26
their 1
them 1
they 2
this 1
thus 1
to 5
trace 1
trade 1
traders 2
tribe 2
tuatha 1
unaware 1
unexpectedly 1
unfortunately 1
uses 1
vanish 1
vehement 1
waning 1
when 1
while 1
who 1
will 2
with 3
women 1
worth 1
years 1
