3369181
/m/098147
/m/098147
Bernard Cornwell
1998-02-26
{"/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 9
after 2
again 1
ahmednuggur 2
aide 1
alone 1
along 1
also 1
and 13
anthony 1
are 1
army 10
arrest 2
arrested 1
as 1
assaye 2
at 4
attack 1
attacking 1
attempt 3
attempting 1
authority 1
battle 4
because 1
been 1
befriended 1
begins 2
being 3
blames 1
book 1
borkardan 2
british 5
but 1
by 6
camp 1
capture 2
carry 1
chance 1
city 3
climax 1
cobras 1
colonel 1
commanded 2
commanding 1
confronts 1
couple 1
day 1
decides 3
decision 1
despite 1
detailed 1
discovers 1
dodd 7
during 2
earlier 1
early 1
elephants 1
encounters 1
enemies 1
enemy 2
ensign 1
escape 2
events 2
exchange 1
fight 2
fights 1
find 1
follow 1
following 1
foot 1
for 5
fort 1
fortress 1
fought 1
framed 1
french 1
from 1
garrison 1
general 1
given 1
gold 1
had 1
hakeswill 2
hard 1
has 2
he 4
head 1
him 7
himself 1
hired 1
his 6
horse 1
however 2
in 6
inform 1
into 2
is 9
it 1
its 1
itself 1
joubert 2
killed 1
kills 1
laid 1
later 1
lay 1
leave 1
leaves 1
life 1
major 1
makes 1
manages 1
march 1
marches 2
massacre 1
mccandless 7
move 1
much 1
named 1
next 2
now 1
obadiah 5
of 14
off 2
officer 2
on 1
once 1
one 1
orders 1
out 1
outnumbered 1
place 1
planning 1
pohlmann 6
present 1
prevents 1
prisoner 1
promotes 1
pursue 1
pursued 1
rank 2
regiment 1
rescues 1
retreating 1
retreats 1
returning 1
save 1
saving 1
scindia 2
search 1
sergeant 1
service 1
sharpe 17
siege 1
simone 1
speaks 1
stages 1
stolen 1
surrounded 1
takes 1
tale 1
the 29
then 3
these 1
throughout 1
throws 1
thus 1
tiger 1
to 20
toward 1
traitor 1
trap 2
travels 1
troops 2
unable 1
under 1
unhorsed 1
unknowingly 1
use 1
vastly 1
view 1
wellesley 8
where 1
which 2
while 2
who 5
whom 2
whose 1
wife 1
window 1
with 2
witnesses 1
witnessing 1
wounded 1
years 1
