3506780
/m/09h7dd
/m/09h7dd
Dr. Seuss
1971-08-12
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 21
all 2
among 1
and 13
appear 1
appears 1
are 2
area 2
around 1
arrived 1
as 1
at 1
away 2
back 1
backward 1
be 1
beautiful 2
became 1
behind 1
biggering 1
blissfully 1
bossy 1
boy 5
brownish 1
but 2
by 3
called 1
calling 1
can 1
cares 1
carpet 1
cents 1
choked 1
clouds 1
come 2
comically 1
confronted 1
consequences 1
containing 1
crumbling 1
curtain 1
cut 1
cutting 2
days 1
declared 1
down 4
end 1
etched 1
everyone 2
explain 1
explains 1
factory 3
fall 1
far 1
fauna 2
fifteen 1
find 1
flashback 1
flew 1
for 2
forest 1
friends 1
from 1
full 1
gather 1
gives 1
glance 1
glove 1
grandfather 1
greatgreatgreat 1
gricklegrass 1
grows 2
habitats 1
happy 1
hat 1
have 1
he 4
heard 1
him 2
himself 1
his 11
hoping 1
hospitable 1
however 1
if 1
ignored 1
improve 1
in 10
instead 1
intention 1
invention 1
is 1
it 1
keep 1
knit 1
last 2
left 2
lifted 2
limbs 1
lingered 1
living 2
lorax 8
man 1
material 1
materials 1
may 1
means 1
message 1
moment 1
more 1
mossy 1
nail 1
needs 2
never 1
no 1
not 1
now 1
of 11
oldish 1
on 2
once 1
onceler 10
one 1
only 1
onscreen 1
operations 1
or 1
over 1
pants 1
pays 1
pillow 1
plant 1
playful 1
polluted 1
pollution 1
pondering 1
present 1
pristine 1
proceeded 1
raw 2
realizes 1
reclusive 1
relatives 2
remorse 1
residence 1
romping 1
rundown 1
sad 2
saying 1
says 1
seat 1
seclusion 1
seed 1
sent 1
sharpish 1
sheet 1
shell 1
shirt 1
shortish 1
shown 2
shut 1
silently 1
situation 1
slab 1
snail 1
sock 1
someone 1
soon 1
speaks 1
spent 1
state 1
stone 1
strange 1
street 1
stump 1
such 1
summoned 1
tells 1
that 9
the 46
their 1
them 1
then 2
they 1
thneeds 2
through 1
titular 1
to 10
tongues 1
town 2
tree 4
trees 7
truffula 7
unless 2
used 1
valley 1
versatile 1
very 3
visits 1
voice 1
warned 1
was 2
what 1
where 1
which 1
while 1
who 2
whole 1
why 1
will 1
with 4
without 2
word 1
work 1
young 1
