28091054
/m/0cmbkn8
/m/0cmbkn8
Miguel M. Abrahão
1996
{"/m/0127jb": "Magic realism"}
100 1
184 2
1848 1
1882 2
1th 2
35 1
a 16
about 1
accused 1
across 1
afflicting 1
after 1
ahead 1
alfred 1
all 4
alleged 1
allow 1
an 4
ancient 2
and 36
andr 9
andre 1
another 1
antinous 2
are 1
arguing 1
arson 1
as 2
at 3
athlete 1
attack 1
basis 1
be 2
beauty 2
became 1
because 2
becomes 1
been 3
before 1
begin 1
behind 1
being 1
beliefs 1
believed 1
berlin 1
best 1
between 5
born 1
bram 1
break 1
brother 1
but 4
by 4
can 1
cases 1
celts 1
centuries 1
century 3
chain 1
circumstances 1
cities 1
claimed 1
claire 2
closest 1
conflict 1
continent 1
convicted 1
convinced 1
corrupt 1
couple 2
crime 1
daughter 1
dawn 1
dear 1
death 1
decides 1
deeply 1
demoralized 1
desires 1
destroy 1
determined 1
devil 1
died 1
disappears 1
divided 1
do 3
does 1
dominates 1
doubt 1
dreyfus 1
during 1
duroseille 4
early 1
edinburgh 1
either 1
eliminated 1
emile 2
emperor 1
energy 2
epilogue 2
established 1
eternal 1
europe 3
european 1
even 1
ever 1
exile 1
exiled 1
exist 1
existence 2
falls 1
family 1
fears 1
feels 1
female 1
figures 1
final 1
finally 2
finds 1
fire 1
first 4
flames 1
for 12
forests 1
form 1
france 1
friendly 1
friends 2
from 2
fury 1
gaston 1
girl 1
give 1
gives 1
glorify 1
goddess 1
grandson 1
great 1
guilt 1
had 1
hadrian 1
happiness 1
has 5
hates 1
have 1
he 8
henry 1
her 2
him 9
himself 2
his 13
historical 1
home 1
homeland 1
however 2
humanity 1
hut 1
i 3
if 1
ill 1
ills 1
immediately 1
immortal 2
immortality 2
imprisoned 1
in 21
inequities 1
intense 1
into 2
invites 1
involved 1
is 12
island 1
it 3
italian 1
italy 1
ive 1
keep 1
killed 1
kills 1
known 1
labatut 1
late 2
lawsuits 1
leaving 1
liberation 1
lidia 1
lies 1
life 4
like 1
live 1
located 1
london 1
long 1
lose 1
loses 1
lost 1
lot 1
love 5
loved 1
loves 1
loving 1
lydia 19
lyon 2
madness 1
magic 1
mainly 1
man 1
married 1
master 1
me 1
meeting 1
meets 2
member 1
met 1
middle 1
midst 1
missing 1
mortally 1
moscow 1
murder 1
murdered 1
my 3
mysterious 2
new 1
nineteenth 1
no 1
not 5
novel 4
now 1
obsession 1
occurs 1
of 36
ogro 1
one 2
only 3
or 1
origin 1
oscar 2
others 1
palio 1
paolo 2
paris 1
part 2
participate 1
parts 1
passion 1
passionate 1
pele 1
people 2
period 1
perjury 1
person 1
pierre 2
place 1
pleasure 1
plot 1
political 1
politicians 1
poor 1
possible 1
power 2
pray 1
present 1
prison 2
process 1
promised 1
protagonist 1
puts 1
queen 1
reason 1
reincarnation 1
relations 1
relationship 1
remove 1
reproached 1
responsible 3
reveals 2
revelation 1
roman 1
romana 2
rome 2
ruled 1
said 1
saying 1
scandals 1
searching 1
second 1
secret 1
see 1
selfish 1
separated 1
ser 1
she 3
shook 1
shows 2
siena 1
since 1
sky 1
smile 1
so 1
sodomy 1
someone 1
son 2
soon 1
stage 1
stefano 1
stepdaughter 2
stepson 1
stigma 1
stoker 1
stop 1
story 3
strong 1
stubbornly 1
suffer 4
suffering 1
suicide 1
surprising 1
suspicion 1
suspicious 1
take 1
takes 1
taking 1
talk 1
target 1
telling 1
that 5
the 71
their 1
there 1
these 2
they 1
third 1
this 3
those 1
thoughts 1
three 1
time 1
to 12
told 2
tragedy 1
trapped 1
travels 1
truly 1
two 2
until 2
us 2
victoria 1
wait 1
want 1
wanted 1
was 6
way 1
we 1
wealth 1
weight 1
went 1
where 1
which 2
who 9
whole 1
whom 1
wife 3
wilde 2
will 7
with 8
without 1
witness 1
woman 3
wrath 1
writer 1
years 3
you 5
young 6
youre 1
youth 3
zola 2
