1059600
/m/042g0r
/m/042g0r
Faith McNulty


184 1
8 1
a 2
actually 1
after 1
and 4
around 1
as 3
be 1
bed 2
book 1
boy 1
burning 1
by 3
car 1
caught 1
character 1
children 2
coats 1
confess 1
directed 1
drove 1
farrah 2
fawcett 2
filmed 1
fire 3
for 1
found 1
francine 1
gasoline 1
girls 1
goldemberg 1
greenwald 1
guilty 1
had 1
having 1
her 4
house 3
hughes 6
in 5
insanity 1
into 1
jury 1
lansing 1
lemat 1
local 1
madefortelevision 1
michigan 1
mickey 2
movie 4
nbc 1
night 1
not 1
october 1
of 4
on 4
one 1
order 1
paul 1
peers 1
police 1
poured 1
premiered 1
put 1
reason 1
robert 1
rosharon 1
screenplay 1
served 1
she 1
sleeping 1
stands 1
starred 1
started 1
station 1
still 1
temporary 1
texas 1
that 1
the 13
their 1
then 1
three 1
to 4
today 1
told 1
tried 1
turned 1
two 1
wait 1
was 3
with 2
