6027788
/m/0fl94n
/m/0fl94n
Bruce Sterling
1994-09
2031 1
a 4
alex 1
america 1
an 2
and 7
are 2
as 1
back 1
become 1
brilliant 1
brought 1
by 2
charismatic 1
chasers 1
clinic 1
colleagues 1
continuing 1
dangerous 1
dedicated 1
depicts 1
devastation 1
document 1
ecosystem 1
expansion 1
f6 1
friends 1
from 2
gases 1
greenhouse 1
group 1
has 2
heavy 1
her 1
high 1
his 1
illegal 1
in 2
is 1
janey 2
jerry 1
knowledgeable 1
leave 1
led 1
liberated 1
lover 1
man 1
mankind 1
medical 1
meet 1
mexican 1
monstrous 1
mulcahey 1
numerous 1
of 4
powerful 1
preparing 1
problems 1
production 1
proportions 1
research 1
result 1
routinely 1
scientist 1
set 1
sister 1
storm 3
storms 1
suffering 1
technology 1
the 7
their 2
they 1
to 4
trails 1
troupe 2
truly 1
unbalanced 1
unchecked 1
unger 1
unpredictable 1
use 1
wake 1
weather 3
where 1
who 1
with 1
world 2
year 1
young 1
