252852
/m/01lhtw
/m/01lhtw
Iain Banks
1986
{"/m/05hgj": "Novel"}
6 1
a 26
abandoned 1
about 1
accent 2
affection 1
after 1
again 1
alcohol 1
alex 3
alex3s 4
alexander 1
all 3
along 1
also 1
amnesiac 1
an 6
and 38
andrea 3
andrea3s 1
anger 1
another 4
anticipating 1
antics 1
anyway 1
appearance 4
appears 1
are 8
around 1
arrangement 1
arrival 1
as 2
at 6
attempts 2
aware 1
away 4
back 1
barbarian 8
barbarian3s 2
barely 1
be 4
beauty 2
become 1
becomes 2
bedbound 1
been 2
before 1
behind 1
being 1
belong 2
best 1
betrayal 1
between 1
beyond 1
block 1
blood 1
bones 1
book 1
born 1
both 1
brakes 1
break 1
breath 1
bridge 13
bridges 2
but 7
by 4
cannabis 1
cant 1
car 2
certain 1
chaos 1
chapter 1
character 2
characters 2
class 1
cleared 1
closeup 1
cold 1
colour 1
coma 1
comparisons 1
consumed 1
contempt 1
continued 1
contrast 1
core 1
could 1
countryside 1
course 1
cramond 3
crash 2
crashes 1
cure 1
cutting 1
damp 1
dark 1
day 1
dead 1
death 1
deathbed 1
decrepit 1
deep 1
deepest 1
deeply 2
delicate 1
desire 1
device 1
dialect 1
different 1
difficult 1
distance 1
distillery 1
distracted 1
doctor3s 1
doesnt 1
done 1
dont 2
downstream 1
dr 1
drawn 1
dreams 2
dried 1
drive 1
driving 1
during 1
each 6
edgar 1
edinburgh 1
elegance 1
elements 1
embittered 1
emerges 1
end 2
enemy 1
engineering 2
entwined 1
eroded 1
eschew 1
even 2
evenings 1
eventually 1
ever 2
example 1
exists 1
explicitly 1
expression 2
factory 1
failure 1
fairly 1
fairy 1
familiar 5
far 2
fast 1
feelings 1
fell 1
felt 1
female 1
few 1
fidelity 1
fife 1
fifty 1
finds 1
firm 1
first 2
for 7
form 1
forth 2
four 2
french 1
freud3s 1
friend 1
from 4
front 2
fucking 1
full 1
further 1
gentle 1
geology 1
get 1
given 1
glanced 1
glasgow 2
glaswegian 1
go 2
going 1
gone 2
good 1
gorgeous 1
got 1
governments 1
grace 1
granite 1
great 1
greek 1
grief 1
grudge 1
hackand 1
had 1
happy 1
has 8
have 2
he 18
heading 1
her 4
hewlett 1
hills 1
him 3
himself 1
hinted 1
his 18
hollow 1
hospital 1
hound 1
how 4
hundreds 1
i 5
idish 1
if 2
illness 1
impossible 1
in 26
indeed 1
indication 1
individual 1
inevitably 1
influence 1
into 1
irvine 1
is 16
island 1
it 6
its 1
job 1
john 2
joyce 1
just 2
keep 1
kill 1
know 1
knowledge 1
lane 2
last 1
lasts 1
late 1
leaves 1
left 1
legends 1
leith 1
lennox 1
less 2
level 1
life 5
light 2
lights 3
likely 1
literally 1
little 1
lived 1
lives 3
living 1
long 1
looked 2
looking 1
loquacious 1
love 3
lover3s 1
made 1
main 1
man 1
manager 1
marina 1
marriage 1
massive 2
maybe 3
me 1
memories 1
mentioned 1
metal 1
metamorpheus 1
metamorphosis 1
metaphormosis 1
middlesection 1
miles 1
militaristic 1
mind 1
mirroring 1
more 1
move 1
must 1
name 1
named 1
nearside 2
neighbouring 1
never 2
neverending 1
no 5
not 1
nothing 2
now 1
of 34
oil 1
old 3
on 8
one 2
only 1
open 1
opened 1
opposition 1
or 1
orderly 1
ordinary 1
orr 2
orr3s 2
orralex3s 1
other 5
out 1
over 2
packards 1
packed 1
pages 1
paint 1
pampered 1
parodies 1
part 3
partner 1
passing 1
penetrated 1
people 1
perfect 1
person 1
personality 1
phallic 1
phonetically 1
piers 1
pity 1
placed 1
pliocene 1
point 2
port 1
power 1
precipitated 1
pressure 1
problems 1
pronounced 1
protagonist 1
psychoanalyst 1
pulling 1
quality 1
queensferry 1
rail 5
railway 1
real 2
referenced 1
reinvigorated 1
rejuvenated 1
relationship 3
relives 1
reluctant 1
remain 1
rendered 1
represent 1
represented 1
represents 1
rest 1
return 1
returning 2
returns 1
reunion 1
rift 1
ring 1
road 2
roadway 1
roots 2
rose 1
round 1
same 1
saw 1
say 1
scots 1
scottish 1
second 1
see 3
sees 1
semideliberate 1
sentimental 1
seven 1
she 4
shipplate 1
showing 1
sigmund 1
sign 1
simulacrum 1
since 1
situation 1
skyreflected 1
slash 1
slowly 1
so 4
some 1
south 1
stamped 1
stark 1
staying 1
steel 1
stonewall 1
stopped 1
story 1
stows 1
strong 1
structural 1
studied 1
subcontract 1
successive 2
such 1
sucked 1
suddenly 1
suicide 1
summit 1
superegoesque 1
surface 1
survive 1
suspended 1
swerve 1
symbolism 1
tales 1
talks 1
technique 1
tell 1
terminal 2
that 6
thatcher 1
thats 2
the 70
their 7
them 2
themed 1
theory 1
there 3
they 1
theyd 1
third 1
this 2
though 1
thought 1
threat 1
three 1
threeway 1
through 3
time 1
to 21
together 2
too 1
totalitarian 1
tow 1
towards 1
train 1
trainspotting 1
transmuted 1
treated 1
tried 1
triumphs 1
truck 1
unconventional 1
under 2
understandable 1
university 1
up 2
used 1
various 1
vat 1
very 2
wake 1
waking 1
walked 1
want 2
war 1
warfare 1
warrior 1
was 6
wasnt 1
well 2
welsh 1
what 2
when 1
where 2
which 2
while 5
who 2
whose 1
wife 2
winked 1
wishes 1
with 6
within 2
woman 1
working 1
world 3
worry 1
would 3
years 3
you 10
youd 1
youll 1
your 2
youre 1
