8505036
/m/02pf423
/m/02pf423
Judy Blundell

a 2
also 1
anakin 1
and 4
apprentice 1
are 1
begins 1
being 1
bellassa 1
built 1
by 3
dark 2
darth 1
death 1
empire 1
essecret 1
ferus 2
former 1
galactic 1
give 1
grand 1
him 1
in 1
is 1
it 2
jedi 1
joined 1
joins 1
leader 1
life 1
make 1
moff 1
of 1
olin 1
on 1
over 1
overlooking 1
palpatine 1
parts 1
planet 1
power 1
process 1
promises 1
rebel 1
remains 1
same 1
secret 2
seduced 1
side 2
sure 1
tarkin 1
that 1
the 7
they 1
to 2
vader 1
was 1
way 1
weapon 2
where 1
with 1
