2873257
/m/08882q
/m/08882q
Howard Fast
1961
{"/m/02p0szs": "Historical fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
125 1
70 1
a 16
about 7
across 1
adam 15
admires 1
after 7
afternoon 2
again 2
agrees 1
all 1
along 3
ambush 2
ambushes 1
american 1
an 1
and 33
another 3
approach 1
are 2
arrive 2
as 4
asks 2
asleep 1
assuage 1
assures 1
at 3
attack 1
attendees 1
away 2
back 1
barn 1
battle 3
battlefield 1
be 1
bear 1
bed 1
been 1
before 1
begins 1
behind 1
belittling 1
between 1
bible 1
body 1
book 1
boston 1
boy 1
boys 1
breakfast 1
bridge 1
british 21
brother 1
brought 1
burn 1
burnt 1
but 4
by 5
casualties 1
cavalry 1
chandler 1
changes 1
childhood 1
church 1
colonies 1
colonists 2
combat 1
come 2
coming 1
commander 1
committee 2
console 1
constant 1
continue 1
continues 1
convinces 1
cooper 1
coopers 2
correspondence 1
cousin 1
cover 1
coward 1
damage 1
dawn 1
days 1
dead 2
death 1
debate 1
decide 1
declaration 1
defeat 1
despite 1
dinner 3
discussed 1
disperse 1
distances 1
do 2
down 1
during 2
eleven 1
empty 1
encounter 2
encounters 1
ends 1
escapes 1
escaping 1
evening 2
everyone 1
eyes 2
face 1
falls 1
family 3
father 6
fear 2
finally 1
finds 1
fire 1
fired 1
flees 1
food 1
for 8
free 1
from 5
frustration 1
gather 3
gets 1
getting 1
go 1
goes 2
going 1
great 1
green 3
grew 1
ground 1
group 2
grow 1
happen 1
happened 2
has 2
have 1
having 2
he 23
hears 1
heavy 1
her 3
hides 1
him 12
his 16
home 4
house 2
if 1
ignorance 2
in 14
including 1
intellectualism 1
interrupted 1
into 1
is 10
isnt 1
it 3
join 3
joining 1
joins 1
joseph 1
keep 1
kill 1
killed 1
killing 1
kiss 1
lamentations 1
later 1
lay 1
lays 1
learn 1
learns 1
leave 1
left 2
let 1
levi 3
lexington 4
lines 1
literacy 1
local 1
longer 1
looks 1
lost 1
loves 2
major 1
man 1
many 1
marry 1
matters 1
meadow 1
meanwhile 2
meet 1
meeting 1
member 1
memorizing 1
men 4
midnight 1
militia 9
militiamen 1
militias 1
minutes 1
more 2
morning 1
moses 8
mother 1
nearby 3
nearly 2
neighboring 1
neighbors 1
night 1
no 1
north 1
not 7
novel 1
of 15
old 1
on 5
once 1
open 1
or 1
order 2
orders 1
organizes 1
other 1
others 1
outnumbered 1
outside 1
over 1
overhear 1
part 2
patrol 1
pitcairn 1
plan 1
planned 1
pointedly 1
points 1
prepare 2
proud 1
punishment 1
pursue 1
rationalism 1
reading 1
realizes 1
reassures 1
refuses 1
regathers 1
relationship 1
relieved 1
represented 1
reprimands 2
resist 1
resistance 1
retreat 2
retreating 1
return 1
returning 1
returns 2
revolt 1
rider 1
rights 1
rising 1
road 3
run 1
runs 2
ruth 3
same 1
sarah 2
saw 1
say 1
says 1
see 1
set 2
several 1
sharpshooters 1
she 8
shooting 1
shortly 1
shot 2
similarly 1
simmons 1
smoke 1
smokehouse 2
soldier 1
soldiers 2
solomon 1
some 1
son 1
soon 2
speech 1
spell 1
spending 1
stand 1
started 1
starting 1
sternly 1
stories 1
superstitious 1
surprisingly 1
talk 2
telling 1
tells 5
that 16
the 67
their 4
them 3
then 2
there 1
they 16
thing 1
things 1
think 1
thinking 2
those 1
though 1
through 2
time 1
to 26
told 1
took 1
towns 1
tradition 1
trap 2
treason 1
troops 1
two 5
unburned 1
under 1
unlike 1
up 2
upbraids 1
vents 1
vicinity 1
village 1
visit 1
visited 1
visits 1
volleys 1
was 1
water 1
way 1
well 1
what 1
when 3
whether 2
which 4
who 2
whom 1
will 2
with 6
woods 2
work 1
worries 1
worrying 1
yearold 1
years 1
yes 1
yet 2
