1189115
/m/04fsw6
/m/04fsw6
Anne Tyler
1998
2yearold 1
36 1
a 4
able 1
about 2
accepts 1
adolescent 1
after 1
again 1
agrees 1
allowed 1
also 2
although 1
an 1
and 12
angel 3
anymore 1
are 3
around 1
as 1
ask 1
asks 1
at 2
aunt 1
back 1
bank 1
barnaby 13
believes 1
birthday 1
brother 1
but 2
by 2
called 1
card 1
caught 1
chilly 1
claims 2
clients 1
climbing 1
come 1
coming 1
company 1
contacts 1
continue 1
daddy 1
dating 1
daughter 4
despair 1
discuss 1
distant 1
does 1
doing 1
dress 1
eat 1
elderly 1
employer 1
expects 1
exwife 2
fall 1
family 1
father 2
few 1
finally 1
finds 1
first 2
for 4
form 1
friend 1
from 2
gaitlin 1
gaitlins 1
going 3
gone 1
greatgrandfather 1
hangs 1
has 2
he 12
hedgehog 1
help 2
her 13
him 3
his 11
home 1
homes 1
hope 1
hoping 1
in 2
introduces 3
invention 1
is 6
job 2
jobs 1
later 2
life 1
likes 1
lunch 1
made 1
mayard 1
months 1
more 1
mother 5
much 1
name 1
narrated 1
needs 2
neighborhood 1
next 1
not 2
novel 1
now 1
odd 1
of 2
off 1
old 2
on 3
opal 7
out 1
patriarchal 1
perhaps 1
philadelphia 2
prematurely 1
rails 1
realizes 1
rentaback 2
rich 1
robbing 1
says 1
see 4
sees 2
she 6
should 1
since 1
social 1
soon 1
sophia 12
spot 1
stuffed 1
suggested 1
summer 1
take 1
takes 1
tell 1
tells 1
that 5
the 11
their 1
they 4
to 15
told 1
train 2
visit 2
visitation 1
waits 1
want 1
was 4
week 2
went 1
when 1
where 1
while 4
who 3
whose 1
will 1
with 1
without 1
wooden 1
working 3
works 1
would 1
year 2
