17612431
/m/046526v
/m/046526v
Catherine Jinks
2009
a 4
abandoning 1
after 1
allout 1
an 1
and 5
are 1
as 1
at 1
attack 1
been 1
before 1
break 1
build 1
but 1
cadel 4
can 1
dearest 1
deception 1
determined 1
down 1
english 1
even 1
everything 1
father 1
fifteenyearold 1
finally 1
found 1
friends 1
from 2
fugitive 1
full 1
good 1
has 3
have 1
he 6
his 2
home 1
in 1
it 1
justice 1
late 1
launch 1
life 1
loving 1
man 1
mistrust 1
must 1
nearest 1
niche 1
not 1
now 1
of 1
on 1
once 1
parents 1
process 1
proper 1
prosper 2
real 1
rules 1
safe 1
smash 1
still 1
struggled 1
studying 1
that 1
the 2
threatened 1
to 3
too 1
track 1
university 1
viewed 1
what 1
when 1
who 1
will 1
