839226
/m/03fx8n
/m/03fx8n
Henry James

{"/m/05hgj": "Novel"}
a 8
accidentally 1
admiration 1
after 1
agrees 1
all 1
ambassadors 2
america 4
american 2
an 3
and 13
as 2
assume 1
at 2
attracted 1
attraction 1
be 1
begins 1
best 1
bilham 1
brief 1
broadly 1
business 1
but 1
by 3
chad 15
charms 1
clutches 1
commitment 1
companion 1
comprehends 1
condemns 1
confide 1
confused 1
counsels 1
counterpoint 1
countryside 1
culture 1
cynical 1
daughter 2
de 2
declines 1
delight 1
demands 1
despite 1
dismisses 1
during 1
encounters 1
england 1
enlists 1
escape 1
europe 3
event 1
experienced 1
exquisite 1
extent 1
family 1
feels 1
fiance 2
finds 1
for 3
forthwith 1
french 1
friend 1
from 4
full 1
gained 1
garden 1
go 1
gostrey 2
greater 1
harshly 1
has 3
have 2
he 7
her 5
him 1
himself 1
his 6
husband 1
immediately 1
impatiently 1
impeccable 1
important 1
impressed 1
impression 1
impressions 1
improved 1
in 10
indecent 1
inn 1
is 4
jeanne 1
journey 1
lambert 1
lead 1
leave 1
life 1
little 1
lived 1
loveliness 1
lovely 1
man 1
manners 1
maria 2
marie 5
marriage 1
marry 1
massachusetts 1
meanwhile 1
meets 3
middleaged 1
might 2
missed 1
mission 1
more 1
most 1
mother 3
mrs 1
much 1
new 2
newsome 2
not 2
now 1
of 11
offer 1
on 1
opinions 1
or 1
overwhelming 1
paris 5
parisian 1
party 1
pocock 1
preconceived 1
presumably 1
proposal 1
provides 1
questioning 1
rattle 1
refusing 1
reportedly 1
requite 1
rescue 1
return 3
returning 2
returns 1
romance 1
rural 1
same 1
sarah 1
seduced 1
seems 1
separated 1
she 1
sister 1
situation 1
so 1
son 1
sophistication 1
start 1
starts 1
stops 2
strether 13
suspects 1
takes 2
that 3
the 15
their 1
thematic 1
then 1
there 1
these 1
time 1
to 21
tour 1
traveling 1
troubles 1
uncomfortable 1
unpleasant 1
view 1
vionnet 2
virtual 1
waiting 1
waymarsh 1
wealthy 1
where 1
whether 1
which 1
who 1
wicked 1
wit 1
with 1
woman 4
woollett 2
worldly 1
years 2
yet 1
