13221747
/m/03bzbdf
/m/03bzbdf
Michael Connelly
2003-04-01
a 4
after 1
an 1
and 3
assistant 1
at 2
back 1
bosch 3
case 2
concerning 1
contact 1
daughter 1
eleanor 2
end 4
exile 1
exwife 1
ezra 1
film 1
first 1
from 2
have 1
having 1
he 1
heart 1
him 1
his 2
in 3
into 1
investigates 1
investigator 1
is 6
lapd 1
las 1
leads 1
learns 1
letter 1
license 1
light 1
lost 1
murder 1
no 2
novel 1
now 1
of 6
old 1
on 1
player 1
poem 1
poker 1
pound 1
prior 1
private 1
production 1
professional 1
received 1
referenced 1
retires 1
set 2
story 1
talking 2
that 1
the 11
there 2
things 1
this 1
use 1
vegas 1
what 1
who 1
wish 1
with 1
work 1
young 1
