31944896
/m/0gvr79l
/m/0gvr79l
Eric Flint
2010-10-05
{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction"}
a 4
abrabanel 1
acquits 1
adolphus 1
against 1
aid 1
an 2
and 10
are 1
army 2
as 1
assassinate 1
at 2
atrocities 1
attempt 3
attention 1
austria 1
axel 1
balance 1
battle 1
become 1
betrothed 1
bledno 1
brandenburg 1
but 2
by 1
campaign 1
cardinal 1
catholicruled 1
chancellor 1
citizens 1
colonel 1
command 2
committed 1
conquering 1
country 1
critical 1
danes 1
daughter 1
democratizing 1
division 1
dream 1
duly 1
eastern 1
eleonora 1
emperor 1
endangering 1
enemies 1
escape 1
establish 1
europe 1
events 1
family 1
forces 1
former 2
france 1
free 1
french 1
front 1
gains 1
general 1
germany 1
government 1
grantville 1
gustavus 3
hangman 1
has 1
having 1
he 2
her 2
higgins 1
him 1
himself 1
his 5
hithertoloyal 1
home 1
huguenots 1
in 7
influence 1
invaded 1
involve 1
is 4
jeff 1
juncture 1
king 1
knocked 1
kristina 1
lake 1
latter 1
leads 1
least 1
lifethreatening 1
light 1
main 1
major 1
maria 1
meanwhile 1
men 1
mike 2
minister 1
mother 1
much 1
murdered 1
new 1
newminted 1
now 2
of 19
on 1
opportunity 1
other 1
out 1
own 1
oxenstierna 1
poland 1
police 1
power 1
prime 1
prince 2
princess 2
provoke 1
pursue 1
queen 1
rebecca 1
rebellious 1
receives 1
reconquered 1
regiment 1
reorganized 1
reverse 1
richelieu 1
royal 1
saxony 1
seize 1
sequences 1
some 1
stalled 1
state 1
states 2
stearns 1
strategic 1
swedes 1
swedish 2
takes 1
temporarily 1
the 29
their 1
third 1
thirty 1
though 1
timedisplaced 1
tipped 1
to 8
turn 1
ulrik 1
under 1
united 1
use 3
victory 1
virginia 1
virginian 1
virginians 1
war 3
well 1
west 3
which 1
wife 1
with 1
wound 1
wrath 1
years 1
