1139964
/m/049rxx
/m/049rxx
Isaac Asimov
1987
21st 1
a 10
absolute 1
accepting 1
accomplish 1
acquainted 1
affordable 1
after 1
agrees 1
albert 1
along 1
also 1
although 2
always 1
american 1
americans 2
an 2
and 6
any 1
apparently 1
appears 1
at 1
attempt 1
away 1
be 3
beat 1
been 3
brain 2
but 4
by 1
can 1
century 1
coercion 1
cold 1
coma 1
computer 1
conditions 1
contained 1
creative 1
deal 1
developed 1
dimensions 1
discovery 1
dying 1
each 2
economically 1
ended 1
energy 1
enjoy 1
enormous 1
enter 1
for 2
forever 1
four 1
from 1
fully 1
game 1
great 1
greatly 1
had 3
has 4
have 1
having 1
he 1
help 2
his 3
hollow 1
ideas 1
impracticable 1
in 3
information 1
input 1
interest 1
intrigued 1
it 3
jonas 1
late 1
later 1
led 1
leonovich 1
lies 1
locked 1
made 1
make 1
man 1
may 1
mid 1
miniaturization 3
miniaturized 1
molecule 1
morrison 5
new 1
normal 1
now 1
of 7
one 1
or 1
other 1
own 2
peace 1
peculiar 1
pioneer 1
place 1
possible 1
process 2
processing 1
program 1
proud 1
pyotor 1
reduce 1
regarding 1
regime 1
remains 1
requires 1
retrieve 1
returned 1
safely 1
scientifically 1
scientist 2
scientists 1
secrecy 1
secrets 1
shapirov 5
shown 1
size 1
smaller 1
so 1
soviet 3
soviets 4
spoken 1
startling 1
storage 1
story 1
strong 1
struggling 1
successful 1
superiority 1
takes 1
task 1
technological 1
technology 1
that 2
the 14
their 1
theories 1
therein 1
this 1
thought 1
thoughts 1
to 12
triumph 1
turn 1
under 1
unfortunately 1
usable 1
use 1
vaguely 1
war 1
way 1
ways 1
where 1
which 1
who 1
with 4
without 2
world 1
yet 1
