12499911
/m/02w9553
/m/02w9553
John Masefield

{"/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel"}
13 1
18 1
187 1
30 1
a 13
about 1
across 1
adventure 1
after 2
aged 1
also 1
an 1
and 10
another 1
arduous 1
are 1
around 1
as 1
assaulted 1
b 1
background 1
barbara 4
be 1
because 1
been 1
being 2
berkshire 1
between 1
black 1
boxing 2
by 2
called 2
captain 2
carey 2
causing 1
characters 1
chisholm 2
coast 1
coincidence 1
come 1
command 1
commences 2
complete 1
concerned 1
concludes 1
confrontation 1
day 1
describe 1
describing 1
died 1
do 1
dream 2
during 1
east 1
encourages 1
endangering 1
endeavours 1
establishing 1
estrangement 1
ever 1
exactly 2
facing 1
far 2
fate 1
feature 1
fictional 3
final 1
for 1
freight 1
geographically 1
girl 2
go 1
goes 1
had 1
hallucinations 1
harbour 1
harker 5
harm 1
has 3
having 1
hazards 1
he 8
heed 1
hilary 1
him 2
his 10
house 1
if 1
in 9
injury 1
inland 1
into 1
is 9
journey 1
keep 1
kingsborough 2
kingsboroughs 2
las 2
learns 1
leaves 1
leeward 1
life 1
likely 1
little 1
los 2
magic 1
majority 1
make 1
march 1
masefield 1
match 3
mate 1
meet 1
merchant 1
minor 1
minutes 1
miss 1
missed 1
more 2
mother 1
moves 1
mr 1
mugged 1
narrative 1
natural 1
north 1
not 1
novel 3
occasions 1
of 10
off 1
old 1
on 8
one 1
onto 1
opens 1
or 1
other 1
overhears 1
palomas 2
passage 2
pathfinder 4
port 1
practitioner 1
previous 1
probably 1
proper 1
protagonist 1
put 1
reaching 1
reality 1
rector 1
remarried 1
renting 1
resolves 1
result 1
rituals 1
s 1
sagrado 1
same 1
santa 4
sard 12
sardonic 1
satanic 1
sea 1
second 1
seen 1
serving 1
ship 2
sister 1
situated 1
some 1
son 1
spectators 1
starvationinduced 1
stingray 1
story 1
strange 1
successful 1
suggests 2
supernatural 1
surrey 1
sustains 1
swamp 1
takes 2
talk 1
ten 1
than 1
that 7
the 29
then 1
they 1
this 2
three 2
time 1
to 13
train 1
turning 1
two 2
uk 1
ultimately 1
under 1
unfortunately 1
venturer 1
vessel 1
village 2
visits 1
wants 1
warn 1
warned 1
warning 1
was 2
watch 1
way 1
when 3
where 1
white 1
who 2
widowed 1
will 1
windlesham 2
with 6
wondering 1
would 1
wrong 1
xicales 2
years 3
