9270798
/m/0282gf0
/m/0282gf0
Saul Bellow
1989-03
{"/m/05hgj": "Novel"}
a 3
and 4
apparent 1
associates 1
book 1
city 1
clara 4
complex 1
confront 1
crises 1
dc 1
disappearance 1
emerald 1
fashion 1
for 1
forces 1
her 3
in 1
interpersonal 1
into 1
is 1
issues 1
ithiel 1
leads 1
longburied 1
love 1
new 1
of 4
own 1
personal 1
politico 1
power 1
prized 1
professional 1
psychological 1
refers 1
ring 3
series 1
star 1
story 1
successful 1
the 7
theft 1
title 1
to 2
velde 1
washington 1
with 2
writer 1
york 1
