315122
/m/01tr9s
/m/01tr9s
William Faulkner
1929
{"/m/05hgj": "Novel"}
a 8
action 1
acts 1
after 1
airplane 1
an 2
and 4
are 1
aristocratic 1
attack 1
aunt 2
automobile 1
bayard 11
begins 1
behavior 1
benbow 1
birth 1
bridge 1
brother 2
built 1
by 1
car 2
causing 1
cavalry 1
civil 1
colonel 2
confederate 1
convalescence 1
crashes 1
day 1
dead 1
deals 1
death 1
decay 1
despite 1
die 1
dies 1
disappears 1
disposition 1
driving 2
du 1
during 2
end 1
especially 1
establishes 1
eventually 1
experimental 1
family 3
fighter 1
first 1
folk 1
follows 1
foolhardy 1
for 1
from 2
gets 1
greatgrandson 1
haunted 1
he 4
heart 1
hero 1
him 1
his 7
i 1
in 3
into 2
is 2
its 1
jefferson 3
jenny 3
john 3
just 1
killed 1
leaving 1
lives 1
local 1
marries 1
miss 1
mississippi 1
narcissa 2
near 1
novel 2
now 1
of 9
off 1
officer 1
old 3
on 1
or 1
patriarch 1
pattern 1
pilots 1
pre 1
pregnant 1
promises 1
purchased 1
push 1
railroad 1
recently 1
reckless 1
recklessly 1
relationship 1
return 1
sartoris 5
sartorises 1
selfdestructive 1
shadow 1
sister 1
son 1
sons 1
southern 1
stop 1
surviving 1
testflying 1
that 1
the 17
to 4
twin 1
under 1
virginia 1
war 3
was 2
wealthy 1
were 1
which 1
who 1
whom 1
wife 1
with 5
world 2
wreck 1
young 5
younger 1
