5511039
/m/0dq5s_
/m/0dq5s_
David Weber
1991-10
50000 1
55000 1
a 24
able 2
aboard 4
accepts 1
access 1
achuultani 3
acquaintance 1
acting 1
action 2
addition 1
advanced 1
after 1
against 3
agent 2
agents 2
ai 1
alien 1
alive 1
all 4
allow 1
always 1
ambitious 1
an 2
and 32
another 1
antarctica 1
antarcticatheir 1
anu 16
approximately 1
are 5
arrival 1
as 7
assault 2
assistance 1
asthe 1
at 4
attempt 1
back 3
backed 1
base 5
based 1
battleship 2
be 1
because 4
become 1
been 3
before 1
beginning 1
begins 1
begun 2
behindthescenes 1
being 1
blow 1
blown 1
body 2
book 1
books 1
both 1
brother 1
building 1
builtin 1
bunkered 1
but 6
by 11
call 1
camouflaged 1
can 2
cannot 1
captain 7
captured 2
care 1
carefully 1
catch 1
cease 1
certain 1
chief 1
choice 2
civilization 2
codes 2
colin 2
command 2
commander 1
committed 1
communication 1
communications 1
compounds 1
computer 2
conquest 1
contact 2
contacts 1
control 1
controlled 1
convincing 1
cost 1
costs 1
cover 1
cowed 1
created 1
crew 8
dahak 12
dahaks 6
damage 2
dark 1
data 1
dead 1
deadly 1
dearly 1
death 3
decades 1
defeat 2
departs 1
descendant 1
descendants 1
despite 1
destroy 4
destroyed 2
detected 1
dictate 1
dilemma 1
discover 2
disloyal 1
dissident 1
double 1
draw 1
dress 1
during 1
early 1
earth 5
earthling 1
effectively 1
elder 1
electronics 1
embark 1
emerging 1
empire 1
end 2
enforced 1
engineering 1
enlist 1
entails 1
entered 1
entirety 1
equally 2
even 1
eventually 1
ever 1
execute 1
expenditures 1
explains 1
exterminate 2
exterminates 1
extremely 2
faced 1
faction 1
fake 1
faked 1
fend 1
fields 2
finally 1
find 1
first 2
fled 1
fleet 1
flood 1
followers 1
for 10
force 3
forced 2
forces 4
former 1
fourth 1
from 1
full 2
gain 1
game 1
gases 1
generators 1
genocidal 1
governments 1
governor 1
grand 1
granting 2
group 4
had 2
hand 1
has 8
have 5
he 3
heavenly 1
heavily 1
heavy 1
hiding 1
hijacked 1
him 6
his 12
home 1
hoping 1
horus 3
however 3
huge 1
human 1
humans 1
hurt 1
impasse 1
imperial 1
imperium 6
imperiums 1
important 3
in 9
incursion 1
indeed 1
inevitably 1
initially 1
inside 1
installations 2
intelligent 1
intended 1
interior 1
internala 1
into 1
is 17
it 12
its 4
itself 2
joins 1
kill 2
killed 1
known 1
last 1
lasts 1
latest 1
launch 1
lead 1
least 1
leave 1
leaves 1
led 2
lieutenant 1
life 2
lifeboats 2
little 2
long 1
loyal 3
loyalists 2
macintyre 10
main 1
major 1
making 1
many 1
map 1
mars 1
massive 1
massively 1
matchless 1
means 1
members 1
methodically 1
missile 1
mission 1
moon 2
multistar 1
mutineers 7
mutineersquickly 1
mutiny 5
mysterious 1
nearer 1
nearest 1
nergal 2
network 1
newest 1
nigh 1
no 1
none 1
nonnecessary 1
nor 1
not 2
now 1
nowatliberty 1
number 1
of 35
off 1
old 3
on 6
once 1
one 1
only 1
open 1
or 2
orbital 1
ordered 1
orders 3
ostensible 1
other 3
out 2
outnumbered 1
over 1
pass 1
passive 1
penetrate 1
percentage 1
periodically 1
personnel 1
places 1
plan 1
planet 1
planetary 1
planetoidsized 1
plants 1
play 1
point 1
pole 1
population 1
power 5
premise 1
presumably 1
prevails 1
previous 1
primativism 1
program 3
prologue 1
proper 1
protected 1
psychopathic 1
quickly 1
race 1
rapidly 1
reached 1
reappear 1
reason 1
recording 1
red 2
refuge 1
rehearsal 1
relaxes 1
reluctantly 1
remote 1
rendering 1
renew 1
repairby 1
repaired 1
require 1
rescued 1
resilience 1
result 1
return 1
returned 1
returns 1
revamp 1
revelation 1
rightful 1
sabotage 2
say 1
scan 1
scheduled 1
scheme 1
sean 4
selfaware 1
send 1
sends 2
severe 1
ship 2
side 1
significant 1
signs 1
silent 1
similar 1
situation 1
so 3
some 2
south 1
space 5
speed 1
splinter 1
starship 1
starving 1
stasis 1
steal 1
step 1
still 1
strength 1
strong 2
submit 1
succeeds 1
superhuman 1
supporting 1
sure 1
surgically 1
surprise 1
survive 1
system 1
systematic 1
systems 2
take 1
taken 2
takes 1
tech 1
technologically 1
technology 2
terrorists 1
that 10
the 85
their 3
them 5
then 2
thereby 1
they 12
this 4
thousands 1
through 1
time 2
to 41
trap 1
trip 1
true 1
tunnel 1
turned 1
two 3
unable 3
under 1
undo 1
unfortunately 2
unify 1
untenable 1
until 1
up 2
upon 2
upunder 1
utterly 1
utuclass 1
very 1
vessel 3
wants 1
war 1
warships 1
was 3
weaponry 3
well 1
were 1
when 3
where 3
which 7
while 2
who 1
whom 1
will 4
with 7
withdraw 1
world 3
would 5
wrath 1
wrecks 1
year 1
years 2
