2375459
/m/077g_h
/m/077g_h
Loung Ung
2000
a 6
age 2
also 1
alternates 1
america 2
american 3
an 1
and 17
arc 2
are 1
arrange 1
as 2
assimilation 1
at 4
attacks 1
aunt 2
author 1
be 1
because 2
become 1
began 1
behind 1
belly 1
between 1
birth 1
bloated 1
born 1
bring 1
brother 3
but 1
by 6
cambodia 7
cambodian 2
caretakers 1
central 1
chapter 1
character 1
child 2
children 2
chose 1
chou 9
church 1
citizens 1
closest 1
college 1
come 1
comes 1
continued 1
could 1
dealt 1
despite 1
different 1
do 1
each 1
eang 4
earn 1
earned 1
eighteen 2
eldest 1
end 1
english 2
enlist 1
enough 1
entirely 1
ethnic 1
even 2
facial 1
family 6
features 1
felt 1
finally 2
first 2
fitting 1
flee 1
food 1
for 2
forced 1
from 1
full 1
gives 1
had 4
haunted 1
he 2
hence 1
her 17
higher 1
him 2
his 4
husband 1
in 13
is 6
issues 1
it 2
its 1
khmer 2
khouy 1
leave 1
leaving 1
life 2
live 2
lived 2
lives 1
longlost 1
lot 2
loung 16
lucky 2
malnutrition 1
maria 1
marriage 1
marries 1
memories 1
meng 5
military 1
missed 1
money 2
narrator 1
new 1
nonetheless 1
not 1
of 11
off 1
often 1
old 1
older 2
on 1
one 1
only 1
order 1
originally 1
past 2
peasant 1
person 2
pheng 2
plagued 2
poor 1
present 1
pretty 1
previous 1
property 1
prospects 1
put 1
quality 1
random 1
receive 1
recorded 1
reduced 1
refugee 1
refused 1
regarding 1
remained 2
rest 3
reunites 1
ridiculed 1
rouge 2
scholarship 1
school 1
several 1
she 14
siblings 1
since 1
sister 3
so 2
sponsorship 1
stamps 1
status 2
still 2
stories 1
story 6
survive 1
tells 1
ten 1
tense 1
terms 1
thailand 1
than 1
the 22
their 1
there 1
they 4
third 1
to 18
tori 1
torturous 1
translated 1
two 1
uncle 2
ung 6
ungs 1
upon 1
upperclass 1
vermont 2
very 1
village 1
visits 1
was 10
wasnt 1
were 1
when 1
where 1
wife 2
with 8
written 2
years 2
younger 1
youngest 1
