25170748
/m/09gqm74
/m/09gqm74
David Nicholls
2009-06-11
1 1
15 1
188 2
20 1
40 1
a 20
able 2
about 2
accident 1
admits 2
affair 1
after 9
again 3
ago 1
an 2
and 36
anniversary 1
another 1
appointment 1
are 4
as 2
at 5
attempts 3
author 1
back 1
bars 1
be 1
beaten 1
become 1
becomes 3
beginning 1
begins 2
being 1
best 1
between 1
bike 1
book 2
both 4
boyfriend 1
breaks 2
by 5
career 1
chapter 1
child 2
children 1
chooses 1
climb 1
climbed 1
closer 1
coincidences 1
collapse 1
comforted 1
completely 1
constantly 1
couple 1
creating 1
daughter 2
day 2
death 2
degree 1
delicafe 1
despair 1
despite 1
develops 1
dexter 22
dies 1
difficult 1
disappointed 1
do 2
doesnt 1
doublefirst 1
drawn 1
drink 1
drinking 2
drug 1
during 1
each 1
edinburgh 2
emma 25
ended 1
ends 1
eventually 1
exwife 1
failing 1
fallen 1
father 2
feelings 2
find 1
finds 3
first 4
following 1
for 5
former 1
friends 1
friendship 3
from 4
frustrated 1
get 3
gets 1
getting 1
go 1
goodbye 1
got 1
graduation 2
grows 1
happened 1
happy 1
has 3
have 4
he 6
headmaster 1
her 9
hide 1
him 1
himself 3
his 9
holiday 1
hooking 1
hope 1
house 1
how 1
however 2
hurt 1
ian 1
improve 1
in 12
invites 1
involved 1
is 9
job 1
july 1
just 1
kentish 1
kiss 1
learns 1
leaves 1
life 1
likes 1
lives 1
london 1
longing 1
love 2
married 1
meanwhile 1
meet 1
memory 1
met 3
more 2
mother 1
mountain 1
move 1
night 2
not 2
novel 2
of 8
on 2
once 1
open 1
order 1
other 2
overcome 1
overwhelmed 1
paris 2
people 2
performing 1
plays 1
point 1
pregnant 1
presenter 1
problem 1
problems 1
promise 1
provokes 1
published 1
realising 1
realizing 1
relationship 3
relationships 1
remain 1
restaurant 2
reunion 1
role 1
romantically 1
roommate 1
rudely 1
same 1
secretly 1
see 1
sex 1
she 5
sides 1
situation 1
someone 2
spend 1
start 1
starts 1
stay 2
stop 1
struggle 1
successful 4
successive 1
suddenly 1
sylvie 2
talk 1
talking 1
teacher 1
television 1
texmex 1
that 4
the 22
their 6
themselves 1
there 2
they 11
this 5
through 3
time 4
to 18
together 10
touch 1
town 1
travelling 1
travels 2
treated 1
tries 1
unemployed 1
university 1
unsuccessful 1
up 3
upcoming 1
various 2
visits 2
waitress 1
wants 3
watches 1
wedding 2
what 1
when 1
where 2
which 1
while 7
who 3
will 1
with 8
woman 1
women 1
world 2
write 1
writing 2
year 1
years 4
