4053656
/m/0bfrk9
/m/0bfrk9
Jerry Spinelli

a 11
abysmal 1
acting 1
after 2
alphabetically 1
always 1
and 8
andrew 2
any 1
as 3
at 2
athletic 1
bag 1
be 1
because 2
become 1
becomes 1
becoming 1
being 2
between 1
book 2
brickandhoagie 1
but 2
called 1
cant 1
cell 1
chance 1
changed 1
childhood 1
childish 1
classroom 1
clues 1
concerts 1
confidence 1
consider 1
consistently 1
crowded 1
day 1
details 1
difference 1
does 1
doesnt 1
doing 1
donald 3
dream 1
drew 1
during 2
eager 1
elderly 1
encounter 1
enthusiasm 1
even 4
fact 1
far 1
father 1
field 1
fifth 1
first 3
fit 1
flute 1
focusing 1
for 2
former 1
friends 1
from 3
girl 1
goes 1
going 1
gold 1
good 1
grade 4
grader 1
grades 1
halls 1
happy 1
has 4
have 1
he 7
heart 1
him 4
his 16
hits 2
hours 1
how 1
however 1
identity 1
in 13
interactions 1
introduced 1
is 8
it 1
jerry 1
just 1
kid 1
lady 1
last 2
laughter 1
life 2
little 1
lonely 1
looking 1
loser 3
lost 1
love 1
loves 1
low 1
mailman 1
make 1
mature 1
middle 1
more 1
much 1
neighbor 1
neighborhood 2
not 3
note 1
notice 1
novel 1
occasionally 1
of 10
on 2
one 1
parents 1
participate 1
peers 2
people 1
performance 1
person 1
phone 1
picked 1
place 1
point 1
proceedings 1
really 1
rear 1
reconnects 1
remains 1
school 3
seated 1
second 1
shown 1
sits 1
sixth 3
small 1
snowstorm 1
so 1
some 1
sort 1
spends 1
spinelli 1
sports 1
states 1
students 1
supposedly 1
takes 1
teacher 1
team 1
teams 1
than 1
that 3
the 13
there 1
these 1
they 1
this 2
though 3
through 2
throughout 1
times 1
to 7
too 1
town 1
traits 1
tries 1
trouble 1
uncommon 1
uncontrollable 1
understand 1
united 1
unusual 1
usually 1
want 1
we 1
well 1
when 2
where 1
who 2
winner 1
with 4
wrong 2
year 3
zinkoff 8
