236599
/m/01jbvd
/m/01jbvd
Stephen King
1981-09-08
{"/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/0c3351": "Suspense", "/m/02xlf": "Fiction"}
a 10
abandons 1
able 1
about 1
abusive 1
act 1
advertisement 1
advertising 1
affair 2
afraid 1
after 2
afterwards 1
against 1
agency 1
all 2
allowing 1
alone 2
also 1
although 1
an 4
and 28
appears 1
are 2
around 1
arrivals 1
arrives 1
as 2
attack 1
attacks 3
attempt 1
attempts 2
authorities 1
back 2
bannerman 1
bat 2
be 2
become 1
becoming 1
been 1
before 1
belongs 1
bernard 1
bitten 2
bluecollar 1
book 2
boston 2
both 1
bothers 1
breaking 1
breaks 1
brett 5
broken 1
business 1
but 2
by 3
call 1
camber 2
cambers 6
car 3
castle 2
cave 1
charity 6
chasing 1
check 1
climbs 1
connecticut 1
considers 1
contact 1
cremated 1
cujo 11
cured 1
dead 1
dehydration 1
designer 1
died 1
discover 1
discovered 1
dog 1
domineering 1
donna 9
door 1
dooryard 1
down 2
during 1
dying 1
effort 1
end 1
ends 2
entrance 1
escape 2
explore 1
eye 1
faces 1
failed 1
failing 2
family 1
fatally 1
fields 1
find 2
first 1
fledgling 1
following 1
fond 1
for 4
forced 1
ford 1
fouryearold 1
from 1
frustrated 1
gary 3
gave 1
george 2
get 1
gets 2
glaring 1
go 1
goes 1
had 1
has 1
having 1
he 3
head 2
help 1
her 4
him 4
his 8
holly 1
home 4
hot 1
house 2
household 1
however 1
husband 1
idea 1
immediately 1
in 13
increasingly 1
infected 1
influence 1
interior 1
into 2
introduced 1
inveigle 1
involved 1
is 15
it 1
joe 9
kemp 1
kidnapping 1
killed 1
kills 3
leads 1
learns 1
leave 2
leaving 1
leg 1
limestone 1
lives 1
local 1
locked 1
longtime 1
lottery 1
man 1
manages 1
mechanic 1
meet 1
middleclass 1
midst 1
must 1
named 1
negative 1
neighbor 1
never 1
new 2
nose 1
occasionally 1
of 4
on 6
one 1
only 2
out 1
over 1
pervier 3
pinto 1
plans 1
pleasure 1
police 2
possibly 1
pounce 1
proceeds 1
puppy 1
rabbit 1
rabies 3
ransacking 1
ready 1
realizes 1
recent 1
repairs 1
residents 1
returns 1
rock 2
running 1
saying 1
secretly 1
send 1
several 1
shadetree 1
she 5
sheriff 1
sister 1
small 1
son 3
soon 1
st 1
stabbing 1
starts 1
state 2
steve 1
stomach 1
stuck 1
subsequently 1
sunlight 1
survive 1
suspected 1
tad 6
take 2
takes 1
temporarily 1
tension 1
tenyearold 1
that 4
the 31
their 5
then 1
there 1
this 2
time 1
to 27
town 2
trapped 1
trentons 2
trip 3
trying 1
use 1
uses 1
vaccinated 2
vehicle 1
vic 5
visit 1
was 1
we 2
well 1
when 1
while 1
who 1
whom 1
whose 1
wife 3
will 2
willie 1
wins 1
with 9
worried 1
york 1
