8001792
/m/026n3bc
/m/026n3bc
Poul Anderson
1974
{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 13
adult 1
advance 1
aid 3
alternate 1
ambassador 2
america 3
an 3
and 19
anderson 2
another 1
are 3
ariel 1
as 2
at 4
attempts 1
back 1
be 1
bear 1
becomes 1
been 1
believed 1
believes 1
between 1
boat 1
books 3
born 1
brings 2
brought 1
but 2
by 2
cannot 1
captive 3
captor 1
carlsen 1
carrying 1
cause 1
cavalier 1
change 1
chaos 1
character 1
charles 4
child 1
civil 3
country 1
defeated 1
delay 1
despairing 1
desperate 1
determination 1
differentlythey 1
discovers 1
disenchantment 1
does 1
each 1
enables 1
england 2
english 3
even 1
events 1
exchange 1
execution 1
explains 1
fail 1
fairies 1
fairweather 2
falls 1
find 4
finds 3
fleeing 1
followed 1
for 1
france 1
from 3
glastonbury 1
guest 1
had 1
happen 1
has 1
he 6
hearts 1
held 2
help 1
her 5
here 2
hero 1
him 3
his 4
history 2
holger 1
house 2
however 1
i 3
if 1
in 10
including 1
inn 1
inside 1
is 10
island 3
it 1
its 1
jennifer 8
king 2
land 1
later 1
library 1
life 1
like 1
lions 1
location 1
long 1
love 1
luna 1
magic 4
magical 2
magically 1
married 1
matter 1
matuchek 1
meets 1
milan 1
near 1
nexus 1
niece 1
north 1
not 1
now 1
oberon 2
of 8
offer 1
old 2
on 1
one 1
operation 2
order 1
originally 1
other 1
our 2
out 3
own 1
parallel 1
peaceful 1
phoenix 2
plight 1
port 1
position 1
possessed 1
potion 1
prince 1
prospect 1
prospero 1
proves 1
puritan 1
reactionaries 1
reasons 1
reconciled 1
refuge 1
resolves 1
retire 1
retrieve 1
return 2
ring 2
rings 3
romantic 1
roundheads 3
rupert 12
sail 1
sank 1
sea 1
seduce 1
sequel 1
set 1
sets 1
she 2
ship 1
spanish 1
spirit 1
steal 1
still 1
stirs 1
stranded 1
strengthening 1
supported 1
taken 2
takes 1
tavern 1
technological 1
teenager 1
tempest 1
that 4
the 34
them 2
there 1
they 2
thirst 1
this 1
three 2
timeline 1
titania 2
to 22
tor 1
transport 1
trapped 1
troopers 1
true 1
try 1
twentiethcentury 2
uncle 1
understand 1
up 2
use 1
uses 1
valeria 3
war 3
was 1
way 1
what 1
when 1
where 4
which 1
who 2
wife 2
will 7
wins 1
with 3
won 1
work 1
works 1
world 2
worlds 1
