17995902
/m/047mh1h
/m/047mh1h
Georges Simenon


a 10
about 1
ailment 1
all 1
an 2
and 5
being 1
billiards 1
body 1
bureaucrats 1
but 1
coast 1
do 2
exactly 1
except 1
exiled 1
exjudge 1
explains 1
fishing 1
for 1
gel 1
get 1
hair 1
have 1
her 1
his 1
hotel 1
house 1
in 4
inspector 1
interesting 1
into 1
is 2
it 1
judge 1
laiguillon 1
lathers 1
local 2
maigret 1
man 1
moves 1
mysterious 2
never 1
normandy 1
nothing 1
of 4
old 1
oversexed 1
playing 1
pub 1
rains 1
secret 1
shows 1
simenon 1
small 1
sniff 1
something 1
story 1
style 1
taste 1
temper 1
that 1
the 8
then 1
there 1
things 1
time 1
to 3
town 1
up 1
village 1
waitress 1
what 1
where 1
with 7
woman 2
wrong 1
young 2
