7222993
/m/025wmld
/m/025wmld
Jerry Pournelle
1979
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 7
abducted 1
abducting 1
able 1
about 1
african 1
aftermath 1
afterwards 1
against 1
aliens 1
all 1
along 1
and 1
are 3
army 1
as 1
assault 1
be 3
beings 1
by 2
captain 1
ciarun 1
cold 1
conditions 1
conquer 1
country 1
cubans 2
deaths 1
expected 2
fictional 1
flying 1
from 4
galloway 2
have 1
his 1
hopeless 1
human 1
humans 1
in 5
involving 1
is 3
janissaries 1
leader 1
living 1
medieval 1
more 1
night 1
of 6
officer 1
on 1
operation 1
option 1
overrun 1
part 1
period 1
planet 2
platoonsized 1
present 1
primarily 1
primitive 1
rescuers 1
rick 1
saintemarie 1
saucer 1
serving 1
situation 2
soldiers 3
special 1
states 1
superior 1
tactics 1
the 12
their 1
them 1
themselves 1
there 1
to 5
tropical 1
unit 2
united 1
us 1
use 1
war 1
weapons 1
where 1
which 2
who 1
with 1
