8969948
/m/027rpzn
/m/027rpzn
Zee Edgell
1991
a 7
abrams 2
agreement 3
aid 1
alex 1
all 1
an 1
and 9
announcement 1
another 1
at 2
being 1
belize 3
belizean 1
belizeans 1
bennett 2
between 1
boyfriend 1
by 3
cabinet 1
carlisle 1
changed 1
character 1
charge 1
claim 1
come 1
convincing 1
countries 1
coworkers 1
deal 1
decision 1
denounce 1
department 2
development 1
divorced 1
draw 1
end 1
equation 1
eric 1
father 1
following 2
former 2
friend 1
future 1
guatemala 1
have 1
her 7
in 4
into 1
introducing 1
is 3
julian 1
keep 1
leader 1
leslie 1
life 1
lisa 1
london 1
main 1
man 1
member 1
movement 1
must 2
of 5
on 1
out 1
own 1
past 1
pavana 4
plan 1
politics 1
possible 1
post 1
present 1
pressured 1
problems 1
rejected 1
relations 1
relationship 1
resistance 1
resources 1
returning 1
right 1
solution 1
states 1
stoner 1
strikes 1
take 1
territory 1
that 1
the 13
them 1
this 1
to 8
tragedy 1
trouble 1
troubles 1
turmoil 1
twins 1
two 1
unfortunately 1
united 1
up 2
vacation 1
walks 1
was 1
when 1
who 1
wholesale 1
with 5
women 1
worker 1
working 1
worse 1
yet 1
