10306442
/m/02q7_cn
/m/02q7_cn
Marilyn Durham
1972
1880s 1
a 6
actions 1
after 1
agent 1
american 1
an 1
and 5
but 1
by 2
cat 1
catherine 5
dancing 1
discovers 1
east 1
eventually 1
fall 1
fleeing 1
from 1
genre 1
haunted 1
his 4
husband 1
in 4
indian 1
is 5
it 1
jay 4
kidnaps 1
love 1
man 1
marriage 1
murder 2
named 1
not 1
novel 1
of 3
offbeat 1
on 1
pursued 1
railroad 1
relationship 1
rob 1
set 1
shoshone 1
story 1
style 1
territory 1
that 1
the 9
they 1
through 1
to 1
together 1
train 1
travel 1
unhappy 1
way 1
west 2
who 1
wife 1
with 1
woman 1
written 1
wyoming 1
