12327476
/m/02v_fd3
/m/02v_fd3
Shaun Hutson

a 5
abusive 1
activities 1
against 1
an 1
and 6
any 1
are 1
as 1
at 1
back 1
become 2
burglaries 1
burgling 1
but 1
campaign 1
cannot 1
car 1
citizens 1
coma 1
conduct 1
daubing 1
decide 1
disturbing 1
dragged 1
elderly 1
end 1
enough 2
escalates 1
everyday 1
father 1
fight 1
for 2
gang 5
get 1
graffiti 1
hands 1
hate 1
hatred 1
have 1
he 1
her 1
his 1
home 1
house 3
intimidation 1
into 3
is 4
it 1
just 1
law 1
life 1
local 1
mail 1
members 1
most 1
nine 1
number 1
of 6
old 1
on 2
own 2
part 1
people 1
police 1
porter 1
put 2
residents 2
responsible 1
riot 1
running 1
scene 1
seems 1
sending 1
senior 1
shattering 1
shelby 2
some 1
staff 1
stop 1
streets 1
supervisor 1
take 1
targets 1
teenage 1
terror 2
the 12
thefts 1
their 2
them 1
things 1
thugs 1
to 3
trying 1
two 1
until 1
veronica 2
victims 1
vulnerable 1
walls 1
when 2
windows 1
wits 1
worse 1
yet 1
youngsters 1
