11108504
/m/02r08_w
/m/02r08_w
Jules Verne

a 4
abandon 1
abdicates 1
after 1
also 1
anarchistic 1
and 2
any 1
around 1
assistance 1
assists 1
becomes 1
colony 2
control 1
establish 1
falls 1
fight 1
for 1
forced 1
god 1
group 1
he 3
helps 1
himself 1
his 2
hoste 1
however 2
in 2
indigenous 1
individualism 1
is 4
island 2
kawdjer 5
land 1
lighthousekeeper 1
lives 1
magellan 1
magellania 2
man 1
master 1
motto 1
mysterious 1
named 1
nearby 1
neither 1
nor 1
novel 1
of 5
on 1
or 1
order 1
over 1
own 1
peoples 1
power 1
principles 1
provides 1
refuses 1
region 1
restores 1
retaining 1
rule 1
settlers 1
shipwrecked 1
story 1
straits 1
survive 1
tells 1
temporarily 1
that 1
the 7
their 1
them 3
thereby 1
though 1
to 4
victim 1
way 1
when 2
whose 1
