10233169
/m/02q5_y3
/m/02q5_y3
Ian McEwan

a 5
abroad 1
although 2
amongst 1
an 3
and 4
angelically 1
are 3
as 1
at 1
bar 1
becomes 1
been 1
befriended 1
being 1
bringing 1
but 1
by 1
canals 1
caroline 2
chain 1
children 1
city 1
clear 1
colin 2
couple 3
deep 1
disabled 1
disturbing 1
divorced 1
do 1
each 1
english 2
evening 2
events 1
first 1
for 1
forceful 1
foresaw 1
from 1
gets 1
great 1
guests 1
handsome 1
has 2
have 2
he 1
her 2
his 2
holiday 1
hospitality 1
hosts 1
house 2
in 2
increasingly 1
insists 1
intimate 1
is 5
it 1
later 1
liberal 1
live 1
lost 1
lover 1
mary 2
masochistic 1
masters 1
meet 1
men 1
named 1
native 1
neither 1
not 1
occurrences 1
of 4
on 2
one 1
other 1
passionate 1
peculiar 1
product 1
relationship 2
robert 2
sadistic 1
series 1
set 1
seven 1
should 1
shown 1
takes 1
that 1
the 9
their 1
them 2
they 2
to 3
together 1
two 1
uncomfortable 1
unnamed 1
upbringing 1
usually 1
view 1
where 1
which 1
who 3
whom 1
wife 1
with 3
withdraw 1
women 1
years 1
yield 1
