10872934
/m/02qsp1w
/m/02qsp1w
Ousmane Sembène

a 8
african 1
also 1
an 2
and 3
angry 1
any 1
are 1
as 1
at 1
been 1
beginning 1
brothers 1
business 1
but 1
cash 1
causes 1
centers 1
child 1
children 1
compounding 1
crops 1
days 1
dealings 1
denies 1
dieng 7
difficulty 1
diob 1
doesnt 1
effective 1
enter 1
even 1
eventually 1
expectant 1
faces 1
fact 1
father 3
few 1
flourish 1
for 4
generosity 1
girl 2
grief 1
has 2
have 1
he 5
help 1
her 4
him 2
his 2
identification 1
illiterate 1
in 3
involvement 1
is 4
it 1
khar 1
laborer 2
learning 1
madaiagua 1
man 1
mbaye 3
message 1
middleaged 1
migrant 1
mob 1
money 1
moneyorder 3
mother 3
much 2
must 1
name 1
named 1
navetanekat 2
neighbors 1
nevertheless 1
new 1
not 1
obtaining 1
of 6
office 1
on 3
one 1
or 1
order 1
other 1
own 1
owns 1
pay 1
post 1
pregnancy 1
promises 1
proper 1
read 1
receives 1
recent 1
rests 1
searches 1
senegalese 1
several 1
show 1
side 1
socalled 1
some 1
suspicion 1
teenager 1
tells 1
that 2
the 18
this 1
time 1
to 3
town 1
tramples 1
translator 1
troubles 1
truth 1
two 1
unemployed 1
villa 1
village 1
waiting 1
wants 1
will 1
windfall 1
with 2
wives 1
word 1
