11197114
/m/02r3bnh
/m/02r3bnh
Guy Delisle

{"/m/016chh": "Memoir", "/m/0py0z": "Graphic novel"}
a 10
acquaintances 1
activity 1
after 1
allegory 1
already 1
among 1
an 2
and 4
animator 1
applies 1
are 2
artbooks 1
as 5
at 2
attraction 1
bath 1
bathsheba 1
been 1
big 1
bilingual 1
blackandwhite 1
books 1
bring 1
buo 1
but 1
buys 1
by 1
canton 1
case 1
chi 1
child 1
children 1
china 2
chinese 9
chinesespeaking 1
christmas 1
cities 1
city 1
clinic 1
comedy 1
comic 1
commentary 1
communicate 1
conditions 1
copy 1
countryside 1
cure 1
delisle 2
dentist 1
deployed 1
dinner 1
divine 1
drawing 1
drawings 1
during 1
exodus 1
experiences 1
fan 1
find 1
finds 2
food 1
for 1
friends 1
funny 1
great 1
had 1
has 3
he 12
her 1
him 1
his 5
hong 3
hotel 1
hu 1
in 8
include 1
including 1
inferno 1
interested 1
interesting 1
intermediate 1
interpreters 1
is 8
it 1
just 1
kong 3
language 1
lapin 1
lassociation 1
later 1
leisure 1
less 1
life 1
liked 1
longer 1
magazine 1
main 1
many 1
mesialization 1
months 1
more 1
nanjing 1
new 1
no 1
not 2
of 7
often 1
only 2
or 1
out 1
outsourcing 1
paradiso 1
part 1
photo 1
pointing 1
political 1
poussin 1
problems 1
project 1
pyongyang 1
read 1
realizes 1
recourse 1
relieved 1
rembrandt 1
rings 1
rural 1
seeing 1
shenzhen 5
shopping 1
since 2
so 1
spend 1
spends 1
spirou 1
splendid 1
stay 1
than 2
that 2
the 16
there 2
thodore 1
three 1
to 11
toothache 1
tourist 1
tries 1
try 1
unhygienic 1
unlike 1
usa 1
visit 1
visits 1
wall 1
wang 1
where 1
while 1
who 1
will 1
windows 1
with 3
work 1
works 1
world 1
yun 1
zhong 1
