3725788
/m/09xfz7
/m/09xfz7
Melinda Metz
2005-09-27
{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
a 4
actually 1
aggressive 1
aims 1
and 2
antlike 1
at 1
be 1
beings 1
belakane 1
buffy 1
build 2
colony 1
demon 1
example 1
expand 1
find 2
for 1
has 1
her 3
high 1
however 1
iii 1
in 1
invites 1
is 3
it 1
local 1
mates 1
mayor 1
named 1
populace 1
program 2
queen 1
reduced 1
reduces 1
richard 1
school 1
selfesteem 2
she 3
single 1
slayer 1
socalled 1
soon 1
speak 1
students 1
sunnydale 1
teenagers 1
test 1
the 2
to 8
trait 1
ultimate 1
wilkins 1
woman 1
workers 1
you 1
