6226217
/m/0fxr03
/m/0fxr03


{"/m/03mfnf": "Young adult literature"}
a 21
acknowledges 2
after 4
against 1
agrees 1
aide 1
alive 1
all 1
although 1
an 1
and 26
ankle 1
annoyed 1
another 1
anything 1
are 8
armed 1
as 9
asks 1
assists 1
assures 1
at 3
attack 1
baby 3
back 1
banquet 1
be 6
bear 1
because 1
become 1
before 6
begins 2
being 4
believed 2
believes 1
ben 1
berserk 1
betrayed 1
bird 1
bitter 1
blessing 1
brother 1
brothers 1
but 10
by 9
cannot 1
caught 1
changes 2
characters 1
cherry 4
child 1
children 1
chosen 1
claim 1
claiming 1
clans 1
clone 1
cloned 2
come 2
commitment 1
complete 1
conor 18
convalescence 1
convoy 1
cornered 1
crashes 1
daughter 1
days 1
death 1
decides 1
deep 2
designed 1
desperately 1
die 1
dinner 1
disappointed 2
discovers 1
discovery 1
disrespected 1
do 1
does 1
down 2
during 1
ease 1
eat 1
eaten 1
end 1
ensuring 1
entitled 1
escape 1
even 1
everything 1
expected 1
family 2
far 1
faster 1
fate 1
father 1
features 1
feet 1
few 1
first 2
following 1
for 8
forced 1
found 1
friendship 1
from 3
further 1
future 1
gift 1
given 1
giving 2
go 1
goes 2
going 1
ground 1
guard 1
guards 1
guest 2
hadrian 1
halfman 1
halfmen 2
hall 1
hamstrung 1
happy 2
hard 1
has 6
have 4
he 8
head 1
heads 1
heal 1
heavily 1
help 1
helps 2
her 12
him 6
himself 2
his 12
honour 1
hopes 1
how 1
hunt 1
hyenaman 2
in 7
informed 1
informs 1
instead 1
intends 1
interrupted 1
into 3
is 22
it 10
kept 1
kidnapped 1
kill 1
killed 1
kitten 2
knife 5
knows 2
lair 1
lands 1
largest 1
laughs 1
leader 1
leadership 1
leaping 1
leaving 1
left 1
lets 1
life 2
like 1
london 4
long 2
loves 1
main 1
makes 1
making 1
master 1
matter 1
meanwhile 2
meet 1
meeting 1
melanie 3
more 1
named 3
nearby 1
no 1
normal 1
not 5
nothing 1
odin 1
of 9
off 2
offers 1
once 1
one 7
only 3
or 2
order 1
orders 1
original 1
originally 1
others 1
out 1
over 1
own 3
peace 1
perfect 1
person 1
pig 2
pigwoman 1
place 1
planned 1
pleasing 1
plunge 1
plunging 1
pretends 1
protection 1
pull 1
quickly 1
realizes 1
rebel 1
recuperate 1
refuses 1
remains 2
remove 1
removes 1
reputed 1
responsibility 1
returning 1
returns 1
revenge 1
roams 1
ruler 1
rushes 1
said 1
second 1
seduces 1
seems 1
sell 1
shape 1
shapes 1
shapeshifter 1
she 11
shocking 1
show 1
shows 2
siggy 12
signy 12
singy 1
slave 1
so 3
somehow 1
special 1
spy 1
still 2
story 2
stronger 1
struck 1
strung 1
styr 1
substance 1
surprise 1
surprises 1
surrender 1
taken 1
takes 1
territory 4
than 1
that 8
the 32
their 1
them 2
then 1
they 5
think 1
thirty 1
this 2
three 1
time 2
to 32
together 1
torture 1
tower 1
townspeople 1
treaty 2
trick 1
troops 1
trust 1
try 1
twins 1
twisted 1
two 2
unbreakable 1
under 2
unite 1
unknowingly 1
until 1
unusual 1
up 4
val 3
very 1
victor 1
visit 2
visiting 1
volson 2
volsons 1
walks 1
wall 1
want 1
wants 1
war 2
was 4
wasteland 1
way 2
what 1
when 1
where 2
which 1
who 4
wife 1
wishes 5
with 5
within 2
wood 1
worst 1
wounds 1
year 1
