7017877
/m/0h0jhl
/m/0h0jhl
Louis Sachar
1987
a 7
about 1
acts 1
affection 1
and 6
anyone 1
arriving 1
as 1
asks 1
at 1
been 1
blabs 1
but 1
chunk 1
club 3
comes 1
corner 1
curly 1
cut 1
daisies 1
destructive 1
dont 1
each 1
else 1
embarrassing 1
escalates 1
foolish 1
form 1
friend 1
from 1
gabriel 4
gets 2
give 1
hair 2
hates 1
he 1
her 3
him 1
how 1
howard 1
insurance 3
into 1
is 1
it 2
join 1
keep 1
large 1
laura 6
light 1
likes 1
long 1
make 1
makes 1
members 1
misunderstanding 1
monkey 1
new 1
of 2
on 2
other 2
out 2
play 1
point 1
pranks 1
promises 1
reveals 1
rival 1
school 3
secret 2
sees 1
she 2
sheared 1
sheila 1
short 1
sibbie 1
someone 1
something 1
starts 1
steals 1
storms 1
style 1
sure 1
tell 1
the 8
there 1
they 2
theyve 1
to 7
totally 1
town 1
truth 1
ugly 1
unless 1
wants 1
way 1
when 2
where 1
which 1
whom 1
with 1
