12155810
/m/02vrmz9
/m/02vrmz9
Jim Butcher
2002-09-03
{"/m/0lsxr": "Crime Fiction", "/m/06n90": "Science Fiction", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 8
accept 1
accolades 1
advice 1
after 3
airport 1
ambushed 1
an 4
and 29
answering 1
answers 1
any 1
apprentice 1
approached 2
armed 1
army 1
as 3
at 3
attack 2
aurora 10
back 1
balance 4
be 2
been 1
being 1
believing 1
between 2
binds 1
blessings 1
blood 1
both 1
box 1
briefly 1
but 2
by 5
call 1
can 3
capable 1
captured 1
car 1
change 1
changelings 2
chicagooverchicago 1
chosen 1
closest 1
cloth 1
coerced 1
collateral 1
collecting 1
comforts 1
confronts 1
congratulates 1
consciousness 1
constant 1
control 1
convinces 1
correct 1
could 1
council 2
court 3
courts 2
curing 1
cutterscold 1
damage 1
deadly 1
death 2
debt 2
declaring 1
deductions 1
delirious 1
destroying 1
details 1
did 1
disappearance 1
disappears 1
discovers 1
do 1
doing 1
dresden 21
dresdens 2
drown 1
dying 1
easily 1
either 1
elaine 8
elaines 1
else 1
emissary 2
escapes 1
eternal 1
ethereal 1
events 1
explains 2
fae 3
faerie 1
fairy 2
favor 3
favors 2
fellow 1
fight 1
find 3
finds 1
first 1
fix 2
flee 1
follows 1
for 6
forced 1
former 1
forthcoming 1
freeing 1
friend 1
friends 2
from 3
front 1
funeral 1
get 1
gets 1
give 2
goad 1
godmother 3
goes 1
grant 1
grants 1
great 1
group 1
guide 1
halfhumanhalffae 1
handed 1
has 1
having 1
he 10
heads 1
heals 1
heavily 1
helping 1
her 7
him 10
his 19
humanity 1
in 6
indebted 1
infection 1
information 1
instead 2
international 1
interview 1
into 2
invented 1
invitation 1
iron 1
is 10
isolated 1
it 1
kill 2
killers 1
knight 8
ladies 1
lady 4
lake 1
last 1
leanansidhe 4
leaves 1
lily 6
lilys 1
lloyd 1
look 1
looking 1
lover 1
mab 5
maeve 1
maintain 1
maintains 1
mantle 6
meryl 1
michigan 1
midsummer 1
more 1
mothers 3
multiple 1
murder 1
murderer 1
must 1
needs 2
new 2
no 2
north 1
not 2
now 1
of 26
off 1
offering 1
offers 1
ohare 1
on 4
one 2
only 1
or 2
over 2
own 1
passage 1
passed 1
pay 2
peace 1
permanently 1
persuades 1
pixies 2
plan 1
plans 1
plot 1
power 6
prisoner 1
protection 1
provide 1
purchased 1
queen 6
queens 1
questions 1
rather 1
recognizing 1
recover 1
red 2
refuses 2
regains 1
remaining 1
request 1
retains 1
returns 1
reuel 2
reuels 2
reward 1
ronald 1
sacrifice 1
sacrificial 1
sadistic 1
safe 1
says 1
seat 1
see 2
service 1
services 1
she 5
shifted 1
sidhe 1
slateand 1
so 1
some 1
speak 1
spell 1
spilled 1
spot 1
stab 1
stealing 1
steelbladed 1
still 1
stolen 1
stone 4
storm 1
stripped 1
struggling 1
success 1
summer 14
summons 1
susan 1
table 4
take 1
takes 1
teenage 1
telling 1
tells 3
than 1
thanks 1
that 8
the 53
theft 1
their 4
then 1
therefore 1
they 4
this 1
three 1
time 1
title 1
to 27
tracks 1
transported 1
trial 2
turned 1
two 1
unleashes 1
unraveling 1
upon 1
vampires 1
vampirism 1
victorious 1
visit 1
war 1
was 1
way 1
were 1
when 1
which 3
white 2
who 3
why 1
will 2
winter 11
with 7
wizard 2
wounds 1
years 1
