8721234
/m/027g7td
/m/027g7td
Tawni O'Dell
2004-06-17
a 10
admires 1
almost 2
always 1
among 1
an 2
and 8
are 1
as 1
be 2
being 1
both 1
bottle 1
brandishes 1
burdened 1
by 3
career 1
cast 1
characters 1
child 1
comic 1
confronts 1
conscience 1
current 1
dangerous 1
day 1
days 1
deadly 1
demons 1
deputy 1
died 1
dispensing 1
doing 1
doorsteps 1
drowning 1
during 2
earlier 1
events 1
explosion 1
fallen 1
father 1
felt 1
fiercely 1
finally 1
football 1
for 1
form 1
friend 1
from 1
generation 1
girl 1
great 1
guilt 1
half 1
haunted 1
he 2
himself 2
his 8
idolized 1
image 1
imminent 1
in 4
independent 1
injury 1
introduces 1
involving 1
is 2
ivan 6
justice 1
kind 1
legend 1
life 2
like 1
lives 2
local 1
longabsent 1
longheld 1
male 1
man 1
mine 1
mirror 1
must 1
narrator 1
neglectful 1
nights 1
nononsense 1
now 2
occasionally 1
of 9
old 2
on 1
onetime 1
own 1
parents 1
pediatrician 1
pities 1
place 1
population 1
preparing 1
prison 1
pro 1
reckoned 1
regrets 1
release 1
reveals 1
reverberations 1
rich 1
ruined 1
secret 1
seemingly 1
sheriff 1
shocking 1
sidelined 1
simple 1
singlemom 1
sister 1
so 1
spends 1
still 1
story 1
survivors 1
takes 1
teammate 1
that 3
the 14
them 1
thirty 1
this 1
time 1
to 1
took 1
town 2
unique 1
usually 1
vaccinations 1
vet 1
vietnam 1
week 2
west 1
while 1
who 2
whose 2
wild 1
wise 1
with 1
years 1
young 1
z 1
zoschenko 1
