3720275
/m/09x41t
/m/09x41t
Cecilia Dart-Thornton
2001-05
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 14
abolish 1
about 1
above 1
actually 1
adventures 1
afflictions 1
after 1
air 1
all 2
along 1
also 1
an 2
and 20
andalum 1
any 1
are 6
around 1
as 1
ashamed 1
asks 1
at 2
attacked 2
away 1
back 1
badly 1
be 1
because 1
becomes 1
before 2
being 1
book 1
building 1
but 6
butterfly 1
by 7
caermelor 1
called 2
can 2
captured 1
caravan 2
carlin 2
caused 1
causes 1
cave 1
children 1
city 3
climb 1
closely 1
comes 1
continues 1
could 1
coupled 1
court 1
creatures 1
cure 3
dainnan 3
danger 1
decide 1
deformities 1
deformity 2
diarmid 4
different 2
discovered 2
discovers 1
down 1
due 1
during 1
each 1
easily 1
effect 1
emperor 1
empire 1
encounter 1
ends 1
entrance 1
eotaurs 2
erith 1
escape 2
ethlinn 1
even 1
eventually 1
everything 1
evil 1
face 1
facial 2
falls 1
family 2
find 6
finding 1
finger 1
first 1
fly 1
following 1
for 4
forest 2
found 2
foundling 1
friends 1
from 1
get 1
go 1
ground 2
hairs 1
has 3
he 12
heal 1
healed 1
hear 1
help 1
her 4
high 1
him 4
his 4
hope 1
house 2
hunt 1
immensely 1
imrhien 14
in 7
injury 1
instead 1
is 17
isse 1
it 1
ivy 1
jealous 1
journey 2
jumping 1
kidnapped 1
killed 1
king 1
kisses 1
knowledge 1
known 1
knows 2
last 1
leading 1
leaves 1
levitate 1
lifting 1
like 1
love 2
magical 1
major 1
make 1
makes 2
map 1
marvel 1
meet 1
memory 1
messengers 1
metal 3
metals 1
might 1
mind 1
mine 4
mischievous 1
most 1
much 1
muirne 3
mute 1
names 1
nephew 2
niece 1
no 2
not 1
objects 1
of 21
off 1
on 5
once 1
one 6
only 3
other 2
others 1
paradox 1
paradoxivy 1
part 2
people 1
perfect 1
pirates 2
plans 1
points 1
poisoning 1
promises 1
property 1
rangers 1
really 1
receives 1
relayers 1
repelling 1
rescued 1
return 1
revenge 1
ring 1
river 1
road 1
safe 1
sail 2
saved 1
saying 1
scars 1
scattered 1
seelie 1
seems 1
sends 1
series 1
set 1
she 5
ship 2
shoes 1
shortly 1
sianadh 11
sick 1
side 1
signs 1
sildron 5
since 1
sister 1
skies 1
skill 1
so 1
someone 1
soon 1
status 1
steeds 1
still 1
stormriders 3
stows 1
surprise 1
survivors 1
sustained 1
takes 1
that 8
the 51
them 3
then 1
there 2
they 8
this 3
thorn 5
though 1
threatens 1
three 1
through 3
thus 1
time 1
to 25
together 2
towards 1
tower 1
travel 2
travels 1
traverse 1
treated 1
treatment 1
trio 1
two 2
types 1
ugly 1
unexpectedly 1
unseelie 1
up 1
used 1
valuable 1
voice 1
vow 1
wants 1
was 2
watched 1
way 1
wealthy 1
what 1
when 4
which 1
who 4
wights 2
wild 1
wilderness 1
wind 1
windship 1
windships 2
winged 1
wish 1
with 9
wizard 2
wont 1
worse 1
would 1
wraps 1
