29674225
/m/0fpjrf_
/m/0fpjrf_
Ali Sparkes
2009-01-01
{"/m/05hgj": "Novel"}
156 1
200 3
a 11
able 1
about 1
accents 1
accidentally 1
again 1
all 2
also 1
amuse 1
an 2
and 39
another 1
antiseptic 1
anyone 1
anything 1
are 5
as 1
asked 1
away 1
back 1
be 1
because 2
been 5
before 1
behind 1
being 2
believe 1
believed 1
ben 10
boarded 1
bodies 2
boot 2
breaks 1
built 1
bullies 1
but 1
button 1
by 1
camera 1
car 4
case 1
cheerful 1
children 1
come 2
constantly 1
corder 1
couldnt 1
cryonic 3
danger 1
day 1
dead 2
deserted 1
die 1
digging 1
do 1
documents 1
dreary 1
drives 1
drop 1
drugged 2
email 1
emerson 1
ends 1
enough 1
escape 1
escaping 1
explained 1
explodes 1
eyes 1
faints 1
father 6
fathers 1
find 4
finds 1
first 1
freddy 10
frequently 1
froze 1
garden 1
get 3
gibberish 1
gives 1
grow 1
habbits 1
had 8
hairgrip 1
happened 1
hatch 2
have 1
he 1
hearts 1
helicopter 1
helping 1
her 2
himself 1
his 2
house 4
how 1
identity 1
in 11
inside 1
into 6
introduce 1
introduced 1
is 1
it 5
knocks 1
learn 1
librarian 2
librarians 1
life 2
like 2
lock 1
looks 2
machine 1
make 1
man 1
name 1
not 1
now 1
of 6
old 3
oldfashioned 1
on 2
one 1
onto 1
opening 1
opens 1
out 3
partly 2
peculiar 1
people 2
picks 1
place 1
polly 11
posh 1
presses 1
put 2
rachel 10
reads 2
real 1
refused 1
remember 1
research 1
reunited 1
revealed 1
robertson 1
runs 1
satellite 1
school 2
see 3
seemed 1
sent 2
she 2
shock 1
shocked 2
sleep 1
so 1
sprays 1
staff 1
start 2
starts 1
staying 1
stopped 1
story 1
stutter 1
suddenly 1
suspected 1
suspension 3
taken 2
talking 1
taunt 1
teach 1
that 2
the 20
their 11
them 7
themselves 5
then 2
there 1
they 8
thrown 2
time 1
to 23
took 1
torch 1
torpedo 1
try 1
trying 1
tv 2
two 2
unable 1
uncle 2
under 1
underground 1
understand 1
up 2
vault 1
wakes 1
wanted 1
was 1
were 2
what 3
when 3
where 2
which 1
who 5
why 2
with 5
without 1
woke 1
work 1
working 2
would 1
you 1
