5551154
/m/0ds4gd
/m/0ds4gd
Elia Kazan
1979
{"/m/012jgz": "Autobiographical novel"}
12 1
a 15
adopted 1
adulterer 1
adultery 1
advertising 2
after 4
aka 2
an 2
anatolian 1
and 7
anderson 2
apparent 1
approval 1
arness 3
arrangement 2
arrested 1
as 5
ask 1
aspect 1
assistant 1
at 1
attempt 1
attempts 1
authentic 1
authentically 1
be 3
become 1
becomes 1
before 1
begins 1
being 1
both 1
broke 1
brother 1
burns 1
but 2
by 1
can 1
car 1
career 3
city 1
college 1
come 1
committed 1
compulsive 1
connecticut 1
content 1
crashes 1
daughter 1
deal 1
dealer 1
deals 1
depression 1
desire 1
discovers 1
dont 2
down 2
drawer 1
dull 1
duplicitous 1
dying 1
eddie 4
ends 1
evangelos 1
evans 2
even 1
executive 1
exposure 1
fact 1
fails 1
false 1
family 1
fascinates 1
father 2
feeling 1
female 1
find 1
firm 1
firstperson 1
florence 3
for 1
former 1
found 1
greekamerican 1
gwen 4
had 2
happily 1
has 3
he 13
her 2
him 3
his 14
hospital 1
house 1
hunt 1
ii 1
in 8
inability 1
indecent 1
independent 1
is 9
it 1
jealous 1
just 1
leave 1
left 1
liaison 1
life 3
lincoln 1
liquor 1
lock 1
love 1
magazine 1
maid 1
married 1
mental 1
merchant 1
mind 1
model 1
months 1
muckraking 1
name 2
new 2
newly 1
novel 1
now 1
nude 1
obsessed 1
of 5
old 1
on 1
one 1
or 1
ostensibly 1
others 1
out 2
outsiders 1
over 1
parents 2
people 1
perfectly 1
perhaps 2
personal 1
persuades 1
photographs 1
pride 1
prying 1
rather 1
regimen 1
reinvigorate 1
reporter 1
rest 1
return 1
returns 1
role 2
rug 1
second 1
secondgeneration 1
seem 1
selfimprovement 1
selfloathing 1
serial 1
settles 1
several 2
short 1
shot 1
shows 1
sold 1
somewhat 1
son 1
starts 2
steffens 1
stories 1
story 1
student 1
subsconsciously 1
suicide 1
suitor 1
symbol 1
tacit 1
takes 1
tell 1
than 1
that 2
the 11
their 3
them 2
though 1
titular 1
to 17
towards 1
true 1
turns 1
tyranny 1
university 1
use 1
veteran 1
wanting 1
war 1
went 1
when 1
where 1
which 3
who 3
whom 1
whose 1
wife 1
with 8
world 1
write 1
york 1
