3419274
/m/09bhzb
/m/09bhzb
Henry James

{"/m/0l67h": "Novella"}
a 6
after 1
an 1
and 2
are 1
at 3
because 1
bradeen 2
branch 1
by 1
captain 1
certain 1
cocker 1
code 1
crisis 1
current 1
death 1
decent 1
decides 1
detection 1
events 1
everard 3
expensive 1
fashionable 1
fiance 1
finally 1
from 2
gets 2
glimpses 1
grocer 1
he 1
her 5
husband 1
if 1
in 4
interested 1
involved 1
lady 2
later 1
learns 1
less 1
life 1
likes 1
location 1
london 1
longer 1
lovers 1
man 1
manages 1
marry 2
money 1
move 1
mudge 2
named 1
neighborhood 2
no 1
numbers 1
of 4
office 1
on 1
pair 1
part 1
particular 1
post 1
reassure 1
reflects 1
refuses 1
remembering 1
safe 1
save 1
secrets 1
seems 1
she 8
society 1
telegrams 3
telegraphist 1
that 3
the 6
their 1
those 1
though 1
through 1
to 5
unnamed 1
unpolished 1
unusual 1
wants 1
was 1
will 1
with 1
works 1
