14771661
/m/03gxgbx
/m/03gxgbx
Jacqueline Wilson
2001
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 17
abandoned 1
action 1
adopted 1
adopting 1
adoptive 1
affairs 1
after 3
against 1
along 1
and 12
another 2
april 17
as 1
at 1
bad 1
battling 1
be 2
beaker 1
bean 1
before 2
befriend 1
befriended 1
begins 1
behind 1
being 1
big 1
birthday 1
bodily 1
bond 2
books 1
born 1
boy 1
breakup 1
bullied 1
bullying 1
burglaries 1
but 2
by 8
called 3
calls 1
care 1
cathy 1
causing 1
character 1
children 3
close 1
committed 1
consequently 1
could 1
dark 1
day 2
decides 1
depression 1
discovered 2
does 1
down 2
drastic 1
dustbin 2
elaine 1
ends 1
fairgate 1
few 2
fight 1
finds 1
first 1
five 1
fool 1
for 2
formed 1
foster 2
fostered 1
found 1
fourteenth 1
frankie 1
friends 2
friendship 1
from 2
gina 2
girl 2
girls 1
graveside 1
grievous 1
had 1
hannah 1
has 1
help 2
her 12
here 3
history 1
home 3
hospital 1
house 1
however 1
husband 1
in 4
injury 1
is 2
it 1
jacqueline 1
janet 2
johnston 1
later 1
learningimpaired 1
leaving 1
little 3
lived 2
local 1
mainstream 1
make 1
man 1
marion 4
marriage 1
meeting 1
mercilessly 1
minutes 1
miss 1
mo 1
mother 2
moved 1
much 1
named 1
new 2
of 10
old 1
older 1
on 2
one 1
only 1
or 1
pat 3
patricia 2
pearl 3
pete 1
pizza 2
poppy 1
pushing 1
readers 1
reference 1
refers 1
remembers 2
removal 1
resident 1
residential 1
resolving 1
respectively 1
restaurant 1
run 1
school 2
seen 1
series 1
she 10
short 1
social 2
sooner 1
stairs 1
start 1
stayed 1
stemming 1
stop 1
story 2
subsequently 1
suicide 1
sunnybank 2
syndrome 1
taken 1
tanya 1
teacher 1
tells 1
that 1
the 15
then 1
there 1
time 2
to 7
took 1
tracy 1
until 1
upon 1
visits 1
waiter 1
was 8
when 1
which 1
while 1
who 2
williams 1
wilson 1
with 8
woman 1
worker 2
years 2
young 1
