6856166
/m/0gstkp
/m/0gstkp
Barbara Pym


a 3
action 1
actually 1
affair 1
an 2
and 5
another 1
as 2
at 3
banbury 1
barbara 1
before 1
bird 1
book 1
bushes 1
but 2
by 1
characters 1
clergy 1
cleveland 1
college 1
comes 1
companion 1
contemplates 1
cousin 1
crampton 1
curate 1
disappointed 1
doggett 2
don 1
entertain 1
extramarital 1
falls 1
fictitious 1
francis 1
gloomy 1
has 1
he 5
her 2
his 3
hodnet 1
home 1
homely 1
house 1
ii 1
in 6
interest 1
is 2
jane 1
jessie 1
knowing 1
latimer 2
laurel 1
like 1
lodge 1
love 1
margaret 1
meanwhile 1
mentioned 1
miss 4
morrow 3
mr 2
no 1
north 1
novel 1
of 1
one 1
out 1
oxford 1
place 1
potential 1
pretends 1
proposal 1
prudence 1
pym 1
randolph 1
reader 1
real 1
reappear 1
rejects 1
returns 1
road 1
sees 1
she 1
some 1
students 2
suitable 1
surrounded 1
takes 1
that 1
the 5
their 2
time 1
to 3
unmarried 1
victorian 1
village 1
visiting 1
walking 1
war 1
was 2
when 2
which 2
who 1
wife 2
with 4
world 1
young 1
