8349363
/m/0270b_k
/m/0270b_k
Charles Bukowski

{"/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 4
about 1
acceptance 1
acts 1
agreed 1
also 2
an 2
and 4
angeles 1
as 6
author 2
bad 1
bears 1
belane 2
blaine 1
bukowski 5
by 2
casablanca 1
cases 1
chandler 1
character 2
comments 1
convoluted 1
could 1
critics 1
cynical 1
dashiell 1
dedicates 1
detective 1
did 2
during 1
escape 1
evokes 1
exemplifies 1
eye 1
fiction 2
final 1
form 1
frequently 1
from 1
fun 1
genre 2
grimiest 1
hammett 1
hardboiled 1
have 1
he 1
his 5
holes 1
in 2
into 1
is 1
itself 1
life 1
lived 1
los 1
main 1
making 1
many 1
metapulp 1
mickey 1
months 1
mortality 1
most 1
mystery 1
name 2
nicky 2
not 2
novel 4
obsessions 1
of 8
on 1
out 1
own 1
pending 1
plan 1
private 1
pulp 5
raymond 1
rhymes 1
rick 1
sarcastic 1
set 1
shocking 1
showing 1
similarity 1
solves 1
some 2
spillane 1
stereotypical 1
stories 1
story 2
suggestively 1
the 9
them 1
there 1
this 1
to 2
violent 1
waiting 1
well 2
which 2
who 2
with 1
work 1
works 1
writing 1
wrote 2
