5416976
/m/0dkxy3
/m/0dkxy3
Bolesław Prus


a 14
abandoned 1
abroad 1
acting 2
adversities 1
after 1
aid 1
all 1
an 3
ancient 1
and 9
are 3
area 1
as 2
at 1
author 1
away 1
baby 1
be 1
becomes 1
becoming 1
been 1
before 2
befriended 1
being 1
benefactors 1
better 1
bismarck 1
book 1
boring 1
bought 1
built 1
burns 1
but 1
buy 1
by 4
care 1
catholic 1
changes 1
character 1
christian 1
church 1
city 1
comes 1
coming 1
community 1
conservative 1
could 1
countryside 1
day 1
deathbed 1
denizens 1
described 1
deus 1
devoid 1
dies 1
dinners 1
do 1
down 1
elsewhere 1
empathetic 1
entirely 1
estate 1
ex 1
exemplars 1
faces 1
farm 5
father 1
financed 1
finding 1
for 1
french 1
from 4
german 3
germansettled 1
gotten 1
government 1
grandfather 1
greatest 1
habitu 1
had 1
halfwit 1
hand 1
happens 1
happy 1
have 2
he 7
her 1
hereditary 1
hesitates 1
him 2
his 6
home 1
however 1
humbler 1
humor 1
hunting 1
illiterate 1
in 3
increasingly 1
inculcated 1
inertia 1
inhabitants 1
is 9
isolated 1
it 3
its 1
jewish 1
lacks 1
land 2
landowners 1
leda 1
limak 6
local 4
loses 1
machina 1
makes 1
manner 1
manor 1
manors 1
mere 1
misfortunes 1
money 2
more 1
move 1
mrs 1
naively 1
nearby 1
nearly 1
neighborhood 1
never 1
no 1
noblemen 1
not 3
of 14
on 2
or 1
out 1
outpost 2
owners 1
painting 1
parties 1
peasant 3
peddler 1
picture 1
plot 2
poland 1
polish 3
poor 1
portraits 1
pray 1
priest 1
principal 1
principle 1
railway 1
rather 1
refuses 1
relieved 1
religion 1
rural 1
saves 1
school 1
selfinterest 1
selflessness 1
sell 3
series 1
setters 1
settlers 1
she 1
since 1
snail 1
somber 1
speak 1
still 1
strength 1
stubborn 1
study 1
suffers 1
superficial 1
surnamed 1
swan 1
swear 1
take 1
takes 1
than 1
that 2
the 19
their 2
there 1
they 1
to 10
turn 1
two 2
typifies 1
unsympathetically 1
village 2
villager 1
virtues 1
wageearner 1
warmth 1
when 2
who 4
widower 1
wife 1
will 2
would 1
