1264281
/m/04nc52
/m/04nc52
Geoffrey Chaucer

{"/m/0c5jx": "Morality play"}
a 8
about 1
actually 1
after 2
again 1
alive 1
all 1
an 2
and 5
annulment 1
as 2
asked 1
asks 1
assents 1
at 2
baby 1
bachelor 1
be 2
bears 1
because 1
bologna 2
borne 1
bride 1
brought 1
bull 1
buried 1
but 2
by 2
child 1
children 2
circumstances 1
clerk 1
conveying 1
daughter 2
deceit 1
deception 1
decides 2
determines 1
employs 1
enables 1
eventually 1
ever 1
finally 1
for 1
forged 1
from 2
girl 1
griselda 7
happily 1
has 4
he 9
heir 1
her 5
him 3
his 5
honor 1
identical 1
in 5
informs 2
intended 1
intends 1
is 4
it 2
italy 1
joy 1
killed 1
labor 1
last 1
later 1
leave 1
life 1
live 1
loyalty 1
makes 1
marquis 1
marry 2
meanwhile 1
named 2
new 1
no 1
of 6
officer 1
one 1
only 1
order 1
overcome 1
pain 1
papal 1
part 1
peasant 1
piedmont 1
poor 1
prepare 1
presents 1
pretending 1
promise 1
promises 1
properly 1
protest 1
provide 1
remarry 1
saluzzo 1
secret 1
seeing 1
sends 1
several 1
she 1
son 1
subjects 1
take 1
taken 1
tale 1
test 2
that 2
the 6
they 1
things 1
this 1
to 10
under 1
used 1
walter 5
wedding 1
when 1
which 1
who 3
wife 1
will 2
wishes 1
years 1
