4342862
/m/0by44q
/m/0by44q
Barry Hines
1968
a 29
about 3
absent 1
acrobatics 1
adaption 1
affair 1
after 11
afterwards 1
ago 1
all 1
along 1
an 4
and 33
anderson 1
another 1
anything 1
apparently 1
approached 2
approaches 1
army 1
as 2
asks 1
asleep 1
assembly 2
associated 1
at 3
attempts 1
away 1
back 3
bastard 1
be 1
because 1
becomes 1
bed 2
been 1
before 2
bet 3
bicycle 1
bightinadvertently 1
billy 40
book 3
bookstore 1
boy 1
break 1
broken 1
bugger 1
bumps 1
buries 1
but 3
buy 1
by 8
called 1
calls 1
caned 1
causing 1
chips 1
cigarettes 1
cinema 1
claims 1
class 4
clothes 1
cold 1
come 1
comes 2
commonly 1
criticises 1
crossley 1
dad 1
daughter 1
day 3
daydream 1
deliver 1
deprived 1
device 1
difficult 1
disappeared 1
discover 1
discussing 1
do 1
does 1
down 1
drunk 1
during 1
each 1
education 1
employment 4
encourage 1
end 1
ended 1
ends 1
events 1
eventually 1
fact 1
falls 1
farm 1
farmer 2
farthing 5
father 4
feed 1
fiction 1
fight 2
film 2
find 1
finds 5
finished 1
finishes 1
first 1
fish 1
fisher 1
fit 1
flashback 6
flashbacks 1
flies 1
foot 1
football 1
for 6
forced 1
forces 1
frantically 1
from 3
fuckin 1
german 1
get 2
gets 2
go 2
goal 2
goalpost 1
goes 10
gryce 4
had 1
hakeem 1
halfbrother 1
hall 2
has 12
have 1
having 1
he 20
head 1
her 3
hide 1
him 5
his 14
hobbies 1
home 9
horse 2
house 2
household 1
however 2
humiliated 1
hurriedly 1
impressed 1
in 16
inside 1
instead 2
intends 1
intentionally 1
interest 2
into 2
involves 1
is 22
it 5
join 1
jud 13
kes 3
kestrel 4
kestrels 1
killed 1
kit 1
language 1
late 1
later 1
leave 1
leaves 4
leaving 1
lesson 5
lets 1
local 1
long 1
looking 1
lord 1
macdowall 1
make 1
man 2
maths 1
meat 1
meeting 3
mick 2
mistake 1
money 1
months 1
more 1
mother 2
mr 9
much 1
mum 2
name 1
nest 1
newspapers 1
next 1
night 2
no 2
not 2
obvious 1
of 5
off 1
officer 1
on 5
one 2
only 3
onto 1
opening 1
order 1
out 6
pages 1
paper 1
pay 1
pe 1
people 1
performing 1
person 1
physical 1
pitch 1
place 5
play 1
plot 1
portion 1
portrays 1
prayer 2
proceeds 1
punches 1
punching 1
pupils 1
read 1
reader 1
realizes 1
recognise 1
recommend 1
refuses 1
reg 1
register 1
remains 1
reminds 1
report 1
responds 1
rest 1
result 1
return 1
returns 5
room 1
round 1
run 1
runs 1
same 2
sat 1
scene 1
school 3
searches 1
see 1
sees 2
sequences 1
set 1
she 1
shop 1
shouts 1
shower 2
sitting 1
skill 1
sleeping 1
so 1
some 3
soon 2
standing 1
starts 1
steals 1
still 1
stolen 1
story 5
storytelling 1
stoutedispenses 1
straight 2
strict 1
sudgen 1
sugden 1
supposed 2
tadpoles 1
take 1
takes 6
taking 1
tall 1
teacher 2
tell 1
tells 5
that 14
the 52
then 8
there 2
they 1
this 3
time 1
timeframe 1
to 43
told 3
towards 1
tries 2
uncle 1
unlikely 1
unusual 1
up 2
uses 1
very 2
visits 1
walking 1
was 2
we 1
wear 1
when 4
where 1
which 3
whilst 1
who 4
whom 1
wife 1
win 1
winning 1
with 9
won 1
work 1
write 1
writes 1
youth 4
