18166964
/m/04cx1nx
/m/04cx1nx
Mary Stewart


a 6
able 1
about 3
address 1
afford 1
after 1
and 3
appears 1
athens 1
been 2
being 1
broken 2
brother 1
but 3
caf 1
cafe 1
camilla 3
car 3
claims 1
death 2
delphi 3
deposit 1
doubtful 1
drives 1
during 1
elizabeth 1
else 1
engagement 1
for 2
greece 2
has 2
hasnt 1
have 1
haven 1
her 3
herself 1
hired 1
his 1
holidaying 1
hotel 1
in 4
is 4
it 3
learn 1
leaving 1
leg 1
lester 1
life 1
man 1
matter 1
meets 1
message 1
michael 1
more 1
no 1
of 2
on 2
one 1
own 1
paid 1
philip 1
proprietor 1
recently 1
requested 1
second 1
she 5
simon 2
sitting 1
so 1
that 2
the 7
to 6
told 1
visit 1
wants 1
war 1
was 1
way 1
when 1
who 1
with 3
world 1
would 1
writing 1
