7806911
/m/026dqb2
/m/026dqb2
Athol Fugard

a 13
about 1
adopt 1
africa 1
african 1
after 1
agree 1
all 1
an 1
and 15
any 1
apparently 1
are 2
arrives 1
as 4
avoid 1
be 2
becomes 1
been 1
begin 1
begins 2
bizarre 1
black 2
both 3
boys 1
bridge 1
brother 5
brothers 2
brought 1
but 3
buying 1
buys 1
by 2
can 4
characters 1
clothes 2
colored 1
come 1
coming 2
date 1
day 1
different 1
disabuse 1
disdain 1
does 1
done 1
each 1
earlier 1
elizabeth 2
ends 1
entertains 1
especially 1
evident 1
face 1
fairskinned 1
fall 1
fantasies 1
farm 1
fathers 1
fears 1
fine 1
for 4
future 1
game 2
games 1
gap 1
girl 3
had 2
harbors 1
has 5
have 4
having 1
he 8
hed 1
her 3
him 3
himself 1
his 4
holds 1
hopes 1
horrified 1
house 1
imaginations 1
in 11
indicated 1
indicating 1
inferior 1
is 2
it 1
keeps 1
killing 1
learned 1
letter 1
letters 1
levelheaded 1
like 1
live 1
lonely 1
love 2
mannerisms 1
many 1
mean 1
meet 3
middleclass 1
might 1
miserable 1
money 2
more 2
morris 13
mother 1
much 1
must 1
named 1
needing 1
never 2
new 1
no 1
not 1
notions 1
now 1
of 6
off 1
on 1
only 2
other 1
own 1
pair 1
part 1
pass 3
past 1
patterns 1
penpal 2
play 2
policeman 1
port 2
prepare 1
puts 1
raised 1
real 1
realized 1
really 1
relationship 2
relieved 1
remain 1
resolution 1
respective 1
returned 1
rich 1
roleplaying 2
same 1
saving 2
say 1
secretly 2
section 1
see 1
segregated 1
servant 1
shack 1
she 5
since 2
skin 1
small 2
so 2
society 1
some 2
soon 1
south 2
speech 1
struck 1
such 2
support 1
take 1
taken 1
than 1
that 11
the 19
their 2
them 1
there 1
they 1
theyre 1
this 1
thoughts 1
time 1
to 15
together 2
tones 1
tragic 1
treat 2
tries 1
trouble 1
truth 1
trying 1
twists 1
two 1
unable 1
unhappy 1
up 1
visit 2
wants 1
warns 1
were 2
when 3
while 1
white 6
whitelooking 1
who 2
will 2
with 6
works 1
would 2
writes 1
years 2
zachariah 15
